onset	duration	trial_type	value
150.374	n/a	cue_aud	1
150.494	n/a	tag	16
154.002	n/a	target	32
156.019	n/a	miss	128
157.138	n/a	cue_vis	4
157.74	n/a	tag	16
160.749	n/a	target	32
161.698	n/a	miss	128
162.936	n/a	cue_vis	4
163.531	n/a	tag	16
166.539	n/a	target	32
167.12	n/a	hit	64
168.342	n/a	cue_vis	4
168.902	n/a	tag	16
171.907	n/a	target	32
172.608	n/a	miss	128
173.74	n/a	cue_vis	4
174.357	n/a	tag	16
177.363	n/a	target	32
177.815	n/a	hit	64
179.028	n/a	cue_aud	1
179.642	n/a	tag	16
183.122	n/a	target	32
183.609	n/a	miss	128
184.895	n/a	cue_vis	4
185.434	n/a	tag	16
188.446	n/a	target	32
189.272	n/a	miss	128
190.509	n/a	cue_aud	1
191.056	n/a	tag	16
194.536	n/a	target	32
195.21	n/a	miss	128
196.424	n/a	cue_aud	1
197.016	n/a	tag	16
200.494	n/a	target	32
201.098	n/a	miss	128
202.133	n/a	cue_vis	4
202.723	n/a	tag	16
205.736	n/a	target	32
206.378	n/a	hit	64
207.497	n/a	cue_aud	1
208.094	n/a	tag	16
211.573	n/a	target	32
212.124	n/a	miss	128
213.303	n/a	cue_aud	1
213.886	n/a	tag	16
217.364	n/a	target	32
218.046	n/a	miss	128
219.185	n/a	cue_vis	4
219.761	n/a	tag	16
222.767	n/a	target	32
223.334	n/a	hit	64
224.35	n/a	cue_vis	4
224.962	n/a	tag	16
227.971	n/a	target	32
228.713	n/a	hit	64
229.784	n/a	cue_vis	4
230.335	n/a	tag	16
233.342	n/a	target	32
233.967	n/a	hit	64
235.22	n/a	cue_vis	4
235.789	n/a	tag	16
238.797	n/a	target	32
239.539	n/a	hit	64
240.545	n/a	cue_vis	4
241.076	n/a	tag	16
244.085	n/a	target	32
244.86	n/a	miss	128
246.121	n/a	cue_aud	1
246.701	n/a	tag	16
250.177	n/a	target	32
250.848	n/a	hit	64
251.873	n/a	cue_aud	1
252.406	n/a	tag	16
255.885	n/a	target	32
256.47	n/a	miss	128
257.672	n/a	cue_aud	1
258.281	n/a	tag	16
261.76	n/a	target	32
262.391	n/a	miss	128
263.543	n/a	cue_vis	4
264.072	n/a	tag	16
267.079	n/a	target	32
267.771	n/a	hit	64
268.838	n/a	cue_aud	1
269.444	n/a	tag	16
272.923	n/a	target	32
273.451	n/a	hit	64
274.624	n/a	cue_aud	1
275.232	n/a	tag	16
278.711	n/a	target	32
279.247	n/a	hit	64
280.285	n/a	cue_vis	4
280.857	n/a	tag	16
283.868	n/a	target	32
284.427	n/a	hit	64
285.63	n/a	cue_aud	1
286.228	n/a	tag	16
289.706	n/a	target	32
290.64	n/a	miss	128
291.822	n/a	cue_aud	1
292.437	n/a	tag	16
295.917	n/a	target	32
296.687	n/a	hit	64
297.705	n/a	cue_vis	4
298.313	n/a	tag	16
301.324	n/a	target	32
302.1	n/a	hit	64
320.493	n/a	cue_aud	1
321.056	n/a	tag	16
324.536	n/a	target	32
325.278	n/a	hit	64
326.325	n/a	cue_vis	4
326.931	n/a	tag	16
329.94	n/a	target	32
330.532	n/a	hit	64
