onset	duration	trial_type	value
959.484	n/a	cue_vis	4
959.605	n/a	tag	16
962.622	n/a	target	32
963.571	n/a	hit	64
964.775	n/a	cue_aud	1
965.35	n/a	tag	16
968.824	n/a	target	32
969.475	n/a	miss	128
970.542	n/a	cue_vis	4
971.14	n/a	tag	16
974.149	n/a	target	32
975.239	n/a	hit	64
976.439	n/a	cue_aud	1
977.017	n/a	tag	16
980.491	n/a	target	32
981.252	n/a	hit	64
982.277	n/a	cue_vis	4
982.892	n/a	tag	16
985.899	n/a	target	32
986.743	n/a	hit	64
987.869	n/a	cue_aud	1
988.429	n/a	tag	16
991.904	n/a	target	32
992.67	n/a	hit	64
993.872	n/a	cue_aud	1
994.473	n/a	tag	16
997.947	n/a	target	32
998.65	n/a	hit	64
999.932	n/a	cue_vis	4
1000.514	n/a	tag	16
1003.521	n/a	target	32
1004.263	n/a	hit	64
1005.508	n/a	cue_aud	1
1006.054	n/a	tag	16
1009.528	n/a	target	32
1010.151	n/a	hit	64
1011.299	n/a	cue_aud	1
1011.844	n/a	tag	16
1015.319	n/a	target	32
1016.106	n/a	hit	64
1017.336	n/a	cue_vis	4
1017.888	n/a	tag	16
1020.894	n/a	target	32
1022.128	n/a	hit	64
1023.255	n/a	cue_aud	1
1023.846	n/a	tag	16
1027.319	n/a	target	32
1028.041	n/a	hit	64
1029.334	n/a	cue_aud	1
1029.889	n/a	tag	16
1033.361	n/a	target	32
1034.038	n/a	hit	64
1035.336	n/a	cue_aud	1
1035.929	n/a	tag	16
1039.404	n/a	target	32
1040.068	n/a	hit	64
1041.329	n/a	cue_vis	4
1041.888	n/a	tag	16
1044.898	n/a	target	32
1045.806	n/a	hit	64
1046.925	n/a	cue_vis	4
1047.513	n/a	tag	16
1050.519	n/a	target	32
1051.62	n/a	hit	64
1052.758	n/a	cue_aud	1
1053.304	n/a	tag	16
1056.777	n/a	target	32
1057.358	n/a	hit	64
1058.433	n/a	cue_aud	1
1059.009	n/a	tag	16
1062.485	n/a	target	32
1062.979	n/a	hit	64
1064.216	n/a	cue_vis	4
1064.802	n/a	tag	16
1067.808	n/a	target	32
1068.792	n/a	hit	64
1070.059	n/a	cue_vis	4
1070.675	n/a	tag	16
1073.68	n/a	target	32
1074.297	n/a	hit	64
1075.573	n/a	cue_vis	4
1076.131	n/a	tag	16
1079.143	n/a	target	32
1079.743	n/a	hit	64
1080.912	n/a	cue_vis	4
1081.501	n/a	tag	16
1084.506	n/a	target	32
1085.173	n/a	hit	64
1086.354	n/a	cue_aud	1
1086.956	n/a	tag	16
1090.431	n/a	target	32
1090.944	n/a	hit	64
1091.991	n/a	cue_vis	4
