onset	duration	trial_type	value
514.026	n/a	cue_aud	1
514.146	n/a	tag	16
517.628	n/a	target	32
519.647	n/a	miss	128
520.766	n/a	cue_vis	4
521.309	n/a	tag	16
524.318	n/a	target	32
525.051	n/a	miss	128
526.288	n/a	cue_vis	4
526.85	n/a	tag	16
529.858	n/a	target	32
530.405	n/a	hit	64
531.628	n/a	cue_vis	4
532.219	n/a	tag	16
535.226	n/a	target	32
535.935	n/a	miss	128
537.067	n/a	cue_vis	4
537.676	n/a	tag	16
540.69	n/a	target	32
541.292	n/a	hit	64
542.505	n/a	cue_aud	1
543.046	n/a	tag	16
546.498	n/a	target	32
547.294	n/a	hit	64
548.58	n/a	cue_vis	4
549.172	n/a	tag	16
552.182	n/a	target	32
552.824	n/a	miss	128
554.061	n/a	cue_aud	1
554.627	n/a	tag	16
558.081	n/a	target	32
558.654	n/a	hit	64
559.867	n/a	cue_aud	1
560.418	n/a	tag	16
563.87	n/a	target	32
564.968	n/a	miss	128
566.002	n/a	cue_vis	4
566.545	n/a	tag	16
569.555	n/a	target	32
570.256	n/a	hit	64
571.375	n/a	cue_aud	1
571.916	n/a	tag	16
575.367	n/a	target	32
576.82	n/a	miss	128
577.999	n/a	cue_aud	1
578.547	n/a	tag	16
581.998	n/a	target	32
582.949	n/a	miss	128
584.089	n/a	cue_vis	4
584.673	n/a	tag	16
587.679	n/a	target	32
588.571	n/a	hit	64
589.587	n/a	cue_vis	4
590.128	n/a	tag	16
593.133	n/a	target	32
593.917	n/a	miss	128
594.987	n/a	cue_vis	4
595.584	n/a	tag	16
598.596	n/a	target	32
599.422	n/a	miss	128
600.673	n/a	cue_vis	4
601.206	n/a	tag	16
604.218	n/a	target	32
604.993	n/a	miss	128
605.999	n/a	cue_vis	4
606.576	n/a	tag	16
609.589	n/a	target	32
610.489	n/a	hit	64
611.75	n/a	cue_aud	1
612.285	n/a	tag	16
615.736	n/a	target	32
616.386	n/a	hit	64
617.411	n/a	cue_aud	1
617.99	n/a	tag	16
621.441	n/a	target	32
622.182	n/a	hit	64
623.385	n/a	cue_aud	1
623.949	n/a	tag	16
627.4	n/a	target	32
627.962	n/a	hit	64
629.114	n/a	cue_vis	4
629.654	n/a	tag	16
632.666	n/a	target	32
633.859	n/a	hit	64
634.926	n/a	cue_aud	1
635.532	n/a	tag	16
638.984	n/a	target	32
639.497	n/a	hit	64
640.67	n/a	cue_aud	1
641.238	n/a	tag	16
644.689	n/a	target	32
645.127	n/a	hit	64
646.165	n/a	cue_vis	4
646.778	n/a	tag	16
649.789	n/a	target	32
650.49	n/a	hit	64
651.693	n/a	cue_aud	1
652.233	n/a	tag	16
655.684	n/a	target	32
656.787	n/a	miss	128
657.968	n/a	cue_aud	1
658.526	n/a	tag	16
661.978	n/a	target	32
662.533	n/a	hit	64
663.551	n/a	cue_vis	4
664.149	n/a	tag	16
667.154	n/a	target	32
667.896	n/a	hit	64
700.042	n/a	cue_aud	1
700.571	n/a	tag	16
704.022	n/a	target	32
704.869	n/a	miss	128
705.916	n/a	cue_vis	4
706.447	n/a	tag	16
709.456	n/a	target	32
710.373	n/a	miss	128
711.381	n/a	cue_vis	4
711.987	n/a	tag	16
714.994	n/a	target	32
715.853	n/a	miss	128
716.985	n/a	cue_aud	1
717.525	n/a	tag	16
720.978	n/a	target	32
721.8	n/a	hit	64
723.051	n/a	cue_aud	1
723.651	n/a	tag	16
