onset	duration	trial_type	value
204.952	n/a	cue_aud	1
205.071	n/a	tag	16
208.565	n/a	target	32
209.496	n/a	hit	64
210.616	n/a	cue_vis	4
211.229	n/a	tag	16
214.243	n/a	target	32
215.226	n/a	miss	128
216.463	n/a	cue_vis	4
217.018	n/a	tag	16
220.032	n/a	target	32
220.88	n/a	hit	64
222.103	n/a	cue_vis	4
222.642	n/a	tag	16
225.651	n/a	target	32
226.685	n/a	miss	128
227.817	n/a	cue_vis	4
228.434	n/a	tag	16
231.44	n/a	target	32
232.234	n/a	hit	64
233.448	n/a	cue_aud	1
234.058	n/a	tag	16
237.518	n/a	target	32
238.211	n/a	hit	64
239.497	n/a	cue_vis	4
240.101	n/a	tag	16
243.108	n/a	target	32
243.9	n/a	miss	128
245.137	n/a	cue_aud	1
245.722	n/a	tag	16
249.184	n/a	target	32
249.83	n/a	hit	64
251.044	n/a	cue_aud	1
251.598	n/a	tag	16
255.057	n/a	target	32
255.835	n/a	hit	64
256.869	n/a	cue_vis	4
257.471	n/a	tag	16
260.481	n/a	target	32
261.214	n/a	hit	64
262.333	n/a	cue_aud	1
262.927	n/a	tag	16
266.388	n/a	target	32
267.111	n/a	hit	64
268.29	n/a	cue_aud	1
268.884	n/a	tag	16
272.346	n/a	target	32
273.074	n/a	hit	64
274.214	n/a	cue_vis	4
274.759	n/a	tag	16
277.77	n/a	target	32
278.404	n/a	hit	64
279.42	n/a	cue_vis	4
279.965	n/a	tag	16
282.974	n/a	target	32
283.95	n/a	hit	64
285.02	n/a	cue_vis	4
285.587	n/a	tag	16
288.596	n/a	target	32
290.614	n/a	miss	128
291.866	n/a	cue_vis	4
292.469	n/a	tag	16
295.477	n/a	target	32
296.795	n/a	miss	128
297.801	n/a	cue_vis	4
298.342	n/a	tag	16
301.348	n/a	target	32
302.19	n/a	hit	64
303.451	n/a	cue_aud	1
304.049	n/a	tag	16
307.511	n/a	target	32
307.995	n/a	hit	64
309.02	n/a	cue_aud	1
309.588	n/a	tag	16
313.05	n/a	target	32
313.834	n/a	hit	64
315.036	n/a	cue_aud	1
315.631	n/a	tag	16
319.092	n/a	target	32
319.764	n/a	hit	64
320.915	n/a	cue_vis	4
321.506	n/a	tag	16
324.518	n/a	target	32
325.335	n/a	hit	64
326.402	n/a	cue_aud	1
326.962	n/a	tag	16
330.422	n/a	target	32
331.64	n/a	miss	128
332.813	n/a	cue_aud	1
333.339	n/a	tag	16
336.799	n/a	target	32
337.812	n/a	hit	64
338.85	n/a	cue_vis	4
339.383	n/a	tag	16
342.391	n/a	target	32
343.208	n/a	miss	128
344.411	n/a	cue_aud	1
345.005	n/a	tag	16
348.464	n/a	target	32
349.414	n/a	hit	64
350.595	n/a	cue_aud	1
351.133	n/a	tag	16
354.592	n/a	target	32
355.135	n/a	hit	64
356.154	n/a	cue_vis	4
356.755	n/a	tag	16
359.764	n/a	target	32
360.665	n/a	hit	64
376.066	n/a	cue_aud	1
376.645	n/a	tag	16
380.105	n/a	target	32
381.04	n/a	hit	64
382.087	n/a	cue_vis	4
382.686	n/a	tag	16
385.694	n/a	target	32
386.628	n/a	hit	64
387.636	n/a	cue_vis	4
388.226	n/a	tag	16
391.232	n/a	target	32
391.858	n/a	hit	64
392.99	n/a	cue_aud	1
393.597	n/a	tag	16
397.059	n/a	target	32
397.754	n/a	hit	64
399.006	n/a	cue_aud	1
399.556	n/a	tag	16
403.018	n/a	target	32
403.626	n/a	hit	64
404.813	n/a	cue_vis	4
405.348	n/a	tag	16
408.355	n/a	target	32
409.322	n/a	hit	64
410.48	n/a	cue_vis	4
411.053	n/a	tag	16
414.06	n/a	target	32
415.469	n/a	miss	128
416.73	n/a	cue_aud	1
417.263	n/a	tag	16
420.724	n/a	target	32
421.658	n/a	hit	64
422.689	n/a	cue_vis	4
423.308	n/a	tag	16
426.32	n/a	target	32
428.339	n/a	miss	128
429.613	n/a	cue_aud	1
430.19	n/a	tag	16
433.647	n/a	target	32
434.911	n/a	hit	64
435.945	n/a	cue_aud	1
436.482	n/a	tag	16
439.943	n/a	target	32
440.624	n/a	hit	64
441.781	n/a	cue_vis	4
442.357	n/a	tag	16
445.37	n/a	target	32
446.62	n/a	hit	64
447.665	n/a	cue_vis	4
448.232	n/a	tag	16
451.241	n/a	target	32
452.317	n/a	miss	128
453.487	n/a	cue_vis	4
454.023	n/a	tag	16
457.03	n/a	target	32
458.147	n/a	hit	64
459.15	n/a	cue_vis	4
459.729	n/a	tag	16
462.734	n/a	target	32
464.11	n/a	hit	64
465.342	n/a	cue_aud	1
465.942	n/a	tag	16
469.401	n/a	target	32
470.149	n/a	hit	64
471.405	n/a	cue_vis	4
471.981	n/a	tag	16
474.986	n/a	target	32
476.421	n/a	hit	64
477.697	n/a	cue_aud	1
478.278	n/a	tag	16
481.737	n/a	target	32
482.526	n/a	hit	64
483.824	n/a	cue_aud	1
484.404	n/a	tag	16
487.866	n/a	target	32
489.173	n/a	hit	64
490.326	n/a	cue_aud	1
490.867	n/a	tag	16
494.327	n/a	target	32
494.978	n/a	hit	64
496.061	n/a	cue_vis	4
496.655	n/a	tag	16
499.666	n/a	target	32
500.491	n/a	hit	64
501.523	n/a	cue_vis	4
502.111	n/a	tag	16
505.12	n/a	target	32
505.946	n/a	hit	64
507.1	n/a	cue_vis	4
507.65	n/a	tag	16
510.658	n/a	target	32
511.517	n/a	hit	64
512.694	n/a	cue_aud	1
513.272	n/a	tag	16
516.736	n/a	target	32
517.522	n/a	hit	64
518.752	n/a	cue_vis	4
519.316	n/a	tag	16
522.326	n/a	target	32
523.168	n/a	hit	64
524.195	n/a	cue_aud	1
524.771	n/a	tag	16
528.232	n/a	target	32
530.25	n/a	miss	128
531.45	n/a	cue_aud	1
531.99	n/a	tag	16
535.449	n/a	target	32
536.038	n/a	hit	64
542.305	n/a	cue_vis	4
542.898	n/a	tag	16
545.905	n/a	target	32
546.839	n/a	hit	64
547.891	n/a	cue_aud	1
548.44	n/a	tag	16
551.899	n/a	target	32
553.92	n/a	miss	128
555.203	n/a	cue_aud	1
555.739	n/a	tag	16
559.201	n/a	target	32
559.916	n/a	hit	64
561.095	n/a	cue_vis	4
561.699	n/a	tag	16
564.704	n/a	target	32
565.913	n/a	miss	128
567.047	n/a	cue_aud	1
567.658	n/a	tag	16
571.117	n/a	target	32
571.609	n/a	hit	64
572.893	n/a	cue_aud	1
573.447	n/a	tag	16
576.909	n/a	target	32
577.756	n/a	hit	64
578.955	n/a	cue_aud	1
579.492	n/a	tag	16
582.952	n/a	target	32
583.453	n/a	hit	64
584.59	n/a	cue_vis	4
585.197	n/a	tag	16
588.207	n/a	target	32
589.116	n/a	hit	64
590.369	n/a	cue_aud	1
590.905	n/a	tag	16
594.365	n/a	target	32
595.204	n/a	hit	64
596.366	n/a	cue_aud	1
596.945	n/a	tag	16
600.407	n/a	target	32
600.959	n/a	hit	64
602.127	n/a	cue_vis	4
602.737	n/a	tag	16
605.747	n/a	target	32
606.714	n/a	hit	64
607.92	n/a	cue_vis	4
608.529	n/a	tag	16
611.535	n/a	target	32
612.377	n/a	miss	128
613.489	n/a	cue_aud	1
614.067	n/a	tag	16
617.527	n/a	target	32
618.44	n/a	hit	64
619.514	n/a	cue_aud	1
620.109	n/a	tag	16
623.571	n/a	target	32
624.129	n/a	hit	64
625.304	n/a	cue_vis	4
625.901	n/a	tag	16
628.908	n/a	target	32
629.667	n/a	hit	64
630.928	n/a	cue_vis	4
631.523	n/a	tag	16
634.529	n/a	target	32
635.38	n/a	hit	64
636.503	n/a	cue_vis	4
637.061	n/a	tag	16
640.067	n/a	target	32
641.377	n/a	miss	128
642.412	n/a	cue_aud	1
643.02	n/a	tag	16
646.482	n/a	target	32
647.673	n/a	hit	64
648.808	n/a	cue_aud	1
649.399	n/a	tag	16
652.86	n/a	target	32
653.52	n/a	hit	64
654.612	n/a	cue_aud	1
655.189	n/a	tag	16
658.649	n/a	target	32
659.433	n/a	hit	64
660.555	n/a	cue_vis	4
661.148	n/a	tag	16
664.154	n/a	target	32
665.138	n/a	hit	64
666.39	n/a	cue_vis	4
666.939	n/a	tag	16
669.951	n/a	target	32
670.835	n/a	hit	64
671.957	n/a	cue_aud	1
672.564	n/a	tag	16
676.023	n/a	target	32
677.374	n/a	hit	64
678.492	n/a	cue_vis	4
679.024	n/a	tag	16
682.036	n/a	target	32
683.103	n/a	hit	64
684.213	n/a	cue_vis	4
684.815	n/a	tag	16
687.824	n/a	target	32
688.858	n/a	hit	64
689.902	n/a	cue_vis	4
690.438	n/a	tag	16
693.446	n/a	target	32
694.388	n/a	hit	64
695.467	n/a	cue_aud	1
696.062	n/a	tag	16
699.52	n/a	target	32
700.543	n/a	hit	64
708.994	n/a	cue_aud	1
709.573	n/a	tag	16
713.034	n/a	target	32
713.537	n/a	hit	64
714.668	n/a	cue_aud	1
715.281	n/a	tag	16
718.741	n/a	target	32
720.76	n/a	miss	128
721.839	n/a	cue_vis	4
722.414	n/a	tag	16
725.423	n/a	target	32
726.599	n/a	miss	128
727.689	n/a	cue_vis	4
728.289	n/a	tag	16
731.294	n/a	target	32
732.12	n/a	miss	128
733.249	n/a	cue_vis	4
733.825	n/a	tag	16
736.832	n/a	target	32
737.683	n/a	miss	128
738.72	n/a	cue_aud	1
739.281	n/a	tag	16
742.743	n/a	target	32
743.363	n/a	miss	128
744.513	n/a	cue_vis	4
745.073	n/a	tag	16
748.083	n/a	target	32
749.318	n/a	miss	128
750.531	n/a	cue_aud	1
751.117	n/a	tag	16
754.575	n/a	target	32
755.164	n/a	hit	64
756.239	n/a	cue_vis	4
756.822	n/a	tag	16
759.827	n/a	target	32
760.61	n/a	miss	128
761.848	n/a	cue_aud	1
762.445	n/a	tag	16
765.905	n/a	target	32
766.374	n/a	hit	64
767.397	n/a	cue_aud	1
767.984	n/a	tag	16
771.446	n/a	target	32
772.162	n/a	hit	64
773.282	n/a	cue_vis	4
773.859	n/a	tag	16
776.866	n/a	target	32
778.284	n/a	miss	128
779.286	n/a	cue_vis	4
779.901	n/a	tag	16
782.913	n/a	target	32
783.705	n/a	hit	64
784.773	n/a	cue_aud	1
785.356	n/a	tag	16
788.818	n/a	target	32
789.969	n/a	miss	128
790.97	n/a	cue_aud	1
791.568	n/a	tag	16
795.028	n/a	target	32
796.399	n/a	hit	64
797.457	n/a	cue_aud	1
798.029	n/a	tag	16
801.489	n/a	target	32
802.145	n/a	hit	64
803.19	n/a	cue_aud	1
803.735	n/a	tag	16
807.197	n/a	target	32
807.817	n/a	hit	64
808.899	n/a	cue_aud	1
809.444	n/a	tag	16
812.903	n/a	target	32
813.48	n/a	hit	64
814.534	n/a	cue_aud	1
815.148	n/a	tag	16
818.61	n/a	target	32
819.735	n/a	hit	64
820.778	n/a	cue_aud	1
821.36	n/a	tag	16
824.821	n/a	target	32
825.448	n/a	hit	64
826.63	n/a	cue_vis	4
827.236	n/a	tag	16
830.244	n/a	target	32
831.454	n/a	miss	128
