onset	duration	trial_type	value
452.577	n/a	cue_aud	1
452.697	n/a	tag	16
456.151	n/a	target	32
456.704	n/a	hit	64
457.824	n/a	cue_vis	4
458.434	n/a	tag	16
461.443	n/a	target	32
462.676	n/a	hit	64
463.913	n/a	cue_vis	4
464.476	n/a	tag	16
467.491	n/a	target	32
468.189	n/a	hit	64
469.411	n/a	cue_vis	4
470.017	n/a	tag	16
473.026	n/a	target	32
473.96	n/a	miss	128
475.092	n/a	cue_vis	4
475.639	n/a	tag	16
478.648	n/a	target	32
479.334	n/a	hit	64
480.548	n/a	cue_aud	1
481.093	n/a	tag	16
484.6	n/a	target	32
486.621	n/a	miss	128
487.907	n/a	cue_vis	4
488.478	n/a	tag	16
491.484	n/a	target	32
492.192	n/a	miss	128
493.429	n/a	cue_aud	1
494.019	n/a	tag	16
497.524	n/a	target	32
498.756	n/a	hit	64
499.97	n/a	cue_aud	1
500.565	n/a	tag	16
504.071	n/a	target	32
505.278	n/a	miss	128
506.313	n/a	cue_vis	4
506.859	n/a	tag	16
509.865	n/a	target	32
510.608	n/a	hit	64
511.728	n/a	cue_aud	1
512.315	n/a	tag	16
515.82	n/a	target	32
516.713	n/a	hit	64
517.892	n/a	cue_aud	1
518.439	n/a	tag	16
521.947	n/a	target	32
522.701	n/a	hit	64
523.841	n/a	cue_vis	4
524.398	n/a	tag	16
527.405	n/a	target	32
528.131	n/a	hit	64
529.147	n/a	cue_vis	4
529.685	n/a	tag	16
532.693	n/a	target	32
533.736	n/a	miss	128
534.806	n/a	cue_vis	4
535.393	n/a	tag	16
538.398	n/a	target	32
539.574	n/a	miss	128
540.825	n/a	cue_vis	4
541.436	n/a	tag	16
544.445	n/a	target	32
545.804	n/a	miss	128
546.81	n/a	cue_vis	4
547.394	n/a	tag	16
550.4	n/a	target	32
551.567	n/a	hit	64
552.828	n/a	cue_aud	1
553.437	n/a	tag	16
556.942	n/a	target	32
557.872	n/a	hit	64
558.897	n/a	cue_aud	1
559.481	n/a	tag	16
562.985	n/a	target	32
563.836	n/a	hit	64
565.038	n/a	cue_aud	1
565.607	n/a	tag	16
569.111	n/a	target	32
570.408	n/a	hit	64
571.559	n/a	cue_vis	4
572.153	n/a	tag	16
575.162	n/a	target	32
576.096	n/a	hit	64
577.163	n/a	cue_aud	1
577.775	n/a	tag	16
581.281	n/a	target	32
582.126	n/a	hit	64
583.299	n/a	cue_aud	1
583.902	n/a	tag	16
587.406	n/a	target	32
587.998	n/a	hit	64
589.036	n/a	cue_vis	4
589.607	n/a	tag	16
592.618	n/a	target	32
593.344	n/a	hit	64
594.547	n/a	cue_aud	1
595.148	n/a	tag	16
598.653	n/a	target	32
599.391	n/a	hit	64
600.572	n/a	cue_aud	1
601.106	n/a	tag	16
604.612	n/a	target	32
605.254	n/a	hit	64
606.272	n/a	cue_vis	4
606.812	n/a	tag	16
609.825	n/a	target	32
610.85	n/a	hit	64
618.802	n/a	cue_aud	1
619.402	n/a	tag	16
622.909	n/a	target	32
623.895	n/a	hit	64
624.942	n/a	cue_vis	4
625.528	n/a	tag	16
628.54	n/a	target	32
629.149	n/a	hit	64
630.157	n/a	cue_vis	4
630.732	n/a	tag	16
633.737	n/a	target	32
634.362	n/a	hit	64
635.494	n/a	cue_aud	1
636.102	n/a	tag	16
639.609	n/a	target	32
640.359	n/a	hit	64
641.61	n/a	cue_aud	1
642.145	n/a	tag	16
645.65	n/a	target	32
646.214	n/a	hit	64
647.4	n/a	cue_vis	4
647.936	n/a	tag	16
650.943	n/a	target	32
651.685	n/a	miss	128
652.842	n/a	cue_vis	4
653.391	n/a	tag	16
656.397	n/a	target	32
657.089	n/a	miss	128
658.35	n/a	cue_aud	1
658.93	n/a	tag	16
