onset	duration	trial_type	value
477.808	n/a	cue_aud	1
477.927	n/a	tag	16
481.378	n/a	target	32
482.86	n/a	hit	64
484.047	n/a	cue_vis	4
484.582	n/a	tag	16
487.59	n/a	target	32
488.389	n/a	miss	128
489.64	n/a	cue_vis	4
490.204	n/a	tag	16
493.213	n/a	target	32
494.486	n/a	hit	64
495.648	n/a	cue_vis	4
496.247	n/a	tag	16
499.257	n/a	target	32
499.816	n/a	hit	64
500.879	n/a	cue_vis	4
501.452	n/a	tag	16
504.462	n/a	target	32
505.131	n/a	miss	128
506.271	n/a	cue_vis	4
506.823	n/a	tag	16
509.833	n/a	target	32
510.516	n/a	hit	64
511.649	n/a	cue_aud	1
512.193	n/a	tag	16
515.703	n/a	target	32
517.722	n/a	miss	128
519.014	n/a	cue_vis	4
519.578	n/a	tag	16
522.585	n/a	target	32
523.085	n/a	miss	128
524.273	n/a	cue_aud	1
524.865	n/a	tag	16
528.375	n/a	target	32
529.24	n/a	hit	64
530.451	n/a	cue_aud	1
530.993	n/a	tag	16
534.501	n/a	target	32
535.454	n/a	miss	128
536.672	n/a	cue_vis	4
537.287	n/a	tag	16
540.3	n/a	target	32
540.901	n/a	hit	64
542.007	n/a	cue_aud	1
542.574	n/a	tag	16
546.083	n/a	target	32
546.521	n/a	hit	64
547.678	n/a	cue_vis	4
548.279	n/a	tag	16
551.284	n/a	target	32
551.851	n/a	hit	64
553.02	n/a	cue_vis	4
553.567	n/a	tag	16
556.572	n/a	target	32
557.114	n/a	miss	128
558.162	n/a	cue_vis	4
558.772	n/a	tag	16
561.785	n/a	target	32
562.577	n/a	hit	64
563.747	n/a	cue_aud	1
564.311	n/a	tag	16
567.819	n/a	target	32
568.423	n/a	miss	128
569.633	n/a	cue_vis	4
570.183	n/a	tag	16
573.194	n/a	target	32
573.911	n/a	miss	128
575.041	n/a	cue_vis	4
575.641	n/a	tag	16
578.649	n/a	target	32
579.207	n/a	hit	64
580.46	n/a	cue_aud	1
581.013	n/a	tag	16
584.521	n/a	target	32
585.204	n/a	hit	64
586.425	n/a	cue_aud	1
586.97	n/a	tag	16
590.48	n/a	target	32
591.334	n/a	hit	64
592.444	n/a	cue_aud	1
593.013	n/a	tag	16
596.52	n/a	target	32
597.131	n/a	hit	64
598.269	n/a	cue_vis	4
598.804	n/a	tag	16
601.81	n/a	target	32
602.694	n/a	miss	128
603.811	n/a	cue_aud	1
604.426	n/a	tag	16
607.934	n/a	target	32
608.54	n/a	hit	64
609.775	n/a	cue_aud	1
610.385	n/a	tag	16
613.893	n/a	target	32
614.379	n/a	hit	64
615.601	n/a	cue_aud	1
616.177	n/a	tag	16
619.685	n/a	target	32
620.25	n/a	hit	64
621.381	n/a	cue_aud	1
621.966	n/a	tag	16
625.476	n/a	target	32
626.606	n/a	hit	64
627.815	n/a	cue_vis	4
628.43	n/a	tag	16
631.435	n/a	target	32
632.335	n/a	hit	64
653.526	n/a	cue_vis	4
654.109	n/a	tag	16
657.115	n/a	target	32
657.815	n/a	hit	64
659.052	n/a	cue_vis	4
659.648	n/a	tag	16
662.653	n/a	target	32
663.228	n/a	hit	64
664.441	n/a	cue_vis	4
665.018	n/a	tag	16
668.024	n/a	target	32
668.558	n/a	hit	64
669.592	n/a	cue_aud	1
670.14	n/a	tag	16
673.648	n/a	target	32
674.496	n/a	hit	64
675.615	n/a	cue_aud	1
676.183	n/a	tag	16
679.691	n/a	target	32
680.176	n/a	miss	128
681.355	n/a	cue_vis	4
681.889	n/a	tag	16
684.897	n/a	target	32
685.906	n/a	miss	128
687.045	n/a	cue_vis	4
687.596	n/a	tag	16
690.602	n/a	target	32
691.26	n/a	miss	128
692.277	n/a	cue_aud	1
692.883	n/a	tag	16
696.393	n/a	target	32
697.007	n/a	hit	64
698.077	n/a	cue_vis	4
698.673	n/a	tag	16
701.678	n/a	target	32
702.253	n/a	hit	64
703.505	n/a	cue_aud	1
704.045	n/a	tag	16
707.555	n/a	target	32
708.183	n/a	hit	64
709.189	n/a	cue_aud	1
709.751	n/a	tag	16
713.261	n/a	target	32
713.746	n/a	hit	64
715.006	n/a	cue_aud	1
715.542	n/a	tag	16
719.05	n/a	target	32
719.634	n/a	miss	128
720.659	n/a	cue_vis	4
721.248	n/a	tag	16
724.255	n/a	target	32
725.047	n/a	hit	64
726.249	n/a	cue_vis	4
726.789	n/a	tag	16
729.801	n/a	target	32
730.485	n/a	miss	128
731.637	n/a	cue_vis	4
732.243	n/a	tag	16
735.247	n/a	target	32
735.714	n/a	miss	128
736.781	n/a	cue_aud	1
737.362	n/a	tag	16
740.872	n/a	target	32
741.444	n/a	hit	64
742.617	n/a	cue_vis	4
743.155	n/a	tag	16
746.165	n/a	target	32
746.932	n/a	hit	64
747.97	n/a	cue_vis	4
748.525	n/a	tag	16
751.536	n/a	target	32
752.153	n/a	miss	128
753.356	n/a	cue_aud	1
753.896	n/a	tag	16
757.404	n/a	target	32
757.858	n/a	miss	128
759.04	n/a	cue_aud	1
759.601	n/a	tag	16
763.111	n/a	target	32
763.905	n/a	miss	128
764.923	n/a	cue_vis	4
765.478	n/a	tag	16
768.484	n/a	target	32
769.168	n/a	hit	64
770.186	n/a	cue_vis	4
770.764	n/a	tag	16
773.772	n/a	target	32
774.447	n/a	hit	64
775.494	n/a	cue_vis	4
776.051	n/a	tag	16
779.059	n/a	target	32
779.735	n/a	hit	64
780.742	n/a	cue_vis	4
781.338	n/a	tag	16
784.347	n/a	target	32
784.906	n/a	miss	128
786.038	n/a	cue_vis	4
786.627	n/a	tag	16
789.635	n/a	target	32
790.502	n/a	miss	128
791.754	n/a	cue_aud	1
792.333	n/a	tag	16
795.843	n/a	target	32
796.474	n/a	hit	64
797.661	n/a	cue_vis	4
798.208	n/a	tag	16
801.22	n/a	target	32
801.895	n/a	miss	128
812.516	n/a	cue_aud	1
813.063	n/a	tag	16
816.573	n/a	target	32
817.2	n/a	hit	64
818.461	n/a	cue_aud	1
819.022	n/a	tag	16
822.529	n/a	target	32
823.263	n/a	hit	64
824.294	n/a	cue_aud	1
824.896	n/a	tag	16
828.404	n/a	target	32
829.143	n/a	hit	64
830.417	n/a	cue_aud	1
831.023	n/a	tag	16
834.531	n/a	target	32
835.207	n/a	hit	64
836.24	n/a	cue_vis	4
836.812	n/a	tag	16
839.819	n/a	target	32
840.486	n/a	hit	64
841.643	n/a	cue_aud	1
842.183	n/a	tag	16
845.693	n/a	target	32
846.408	n/a	hit	64
847.452	n/a	cue_aud	1
848.059	n/a	tag	16
851.568	n/a	target	32
852.188	n/a	hit	64
853.357	n/a	cue_aud	1
853.934	n/a	tag	16
857.442	n/a	target	32
858.001	n/a	hit	64
859.004	n/a	cue_vis	4
859.556	n/a	tag	16
862.563	n/a	target	32
863.314	n/a	miss	128
864.545	n/a	cue_aud	1
865.096	n/a	tag	16
868.604	n/a	target	32
869.069	n/a	hit	64
870.325	n/a	cue_aud	1
870.885	n/a	tag	16
874.395	n/a	target	32
874.882	n/a	hit	64
876.158	n/a	cue_aud	1
876.76	n/a	tag	16
880.27	n/a	target	32
880.745	n/a	hit	64
882.043	n/a	cue_vis	4
882.635	n/a	tag	16
885.641	n/a	target	32
886.333	n/a	miss	128
887.486	n/a	cue_vis	4
888.09	n/a	tag	16
891.096	n/a	target	32
891.738	n/a	hit	64
892.821	n/a	cue_aud	1
893.377	n/a	tag	16
896.887	n/a	target	32
897.484	n/a	miss	128
898.516	n/a	cue_vis	4
899.085	n/a	tag	16
902.097	n/a	target	32
902.747	n/a	hit	64
903.901	n/a	cue_aud	1
904.456	n/a	tag	16
907.966	n/a	target	32
908.635	n/a	hit	64
909.813	n/a	cue_aud	1
910.415	n/a	tag	16
913.925	n/a	target	32
914.29	n/a	hit	64
915.52	n/a	cue_vis	4
916.12	n/a	tag	16
919.128	n/a	target	32
919.761	n/a	miss	128
920.788	n/a	cue_vis	4
921.325	n/a	tag	16
924.332	n/a	target	32
925.049	n/a	miss	128
926.249	n/a	cue_aud	1
926.864	n/a	tag	16
930.374	n/a	target	32
930.787	n/a	hit	64
931.944	n/a	cue_vis	4
932.486	n/a	tag	16
935.492	n/a	target	32
936.133	n/a	miss	128
