onset	duration	trial_type	value
438.701	n/a	cue_aud	1
438.82	n/a	tag	16
442.28	n/a	target	32
444.296	n/a	miss	128
445.483	n/a	cue_vis	4
446.069	n/a	tag	16
449.076	n/a	target	32
450.384	n/a	miss	128
451.635	n/a	cue_vis	4
452.195	n/a	tag	16
455.208	n/a	target	32
457.223	n/a	miss	128
458.385	n/a	cue_vis	4
458.994	n/a	tag	16
462.002	n/a	target	32
462.661	n/a	miss	128
463.725	n/a	cue_vis	4
464.281	n/a	tag	16
467.291	n/a	target	32
468.077	n/a	hit	64
469.217	n/a	cue_vis	4
469.821	n/a	tag	16
472.828	n/a	target	32
473.587	n/a	hit	64
474.719	n/a	cue_aud	1
475.275	n/a	tag	16
478.786	n/a	target	32
479.759	n/a	miss	128
481.051	n/a	cue_vis	4
481.653	n/a	tag	16
484.663	n/a	target	32
485.605	n/a	hit	64
486.793	n/a	cue_aud	1
487.358	n/a	tag	16
490.79	n/a	target	32
491.569	n/a	hit	64
492.779	n/a	cue_aud	1
493.319	n/a	tag	16
496.831	n/a	target	32
497.925	n/a	miss	128
499.142	n/a	cue_vis	4
499.697	n/a	tag	16
502.703	n/a	target	32
503.796	n/a	hit	64
504.902	n/a	cue_aud	1
505.488	n/a	tag	16
508.999	n/a	target	32
509.676	n/a	hit	64
510.832	n/a	cue_vis	4
511.362	n/a	tag	16
514.371	n/a	target	32
515.53	n/a	hit	64
516.699	n/a	cue_vis	4
517.237	n/a	tag	16
520.243	n/a	target	32
521.085	n/a	hit	64
522.134	n/a	cue_vis	4
522.691	n/a	tag	16
525.698	n/a	target	32
526.473	n/a	hit	64
527.643	n/a	cue_aud	1
528.231	n/a	tag	16
531.745	n/a	target	32
532.478	n/a	hit	64
533.688	n/a	cue_vis	4
534.274	n/a	tag	16
537.282	n/a	target	32
538.291	n/a	hit	64
539.421	n/a	cue_vis	4
539.98	n/a	tag	16
542.987	n/a	target	32
543.913	n/a	miss	128
545.165	n/a	cue_aud	1
545.769	n/a	tag	16
549.199	n/a	target	32
550.068	n/a	hit	64
551.289	n/a	cue_aud	1
551.898	n/a	tag	16
555.409	n/a	target	32
556.131	n/a	miss	128
557.241	n/a	cue_aud	1
557.77	n/a	tag	16
561.2	n/a	target	32
562.212	n/a	miss	128
563.349	n/a	cue_vis	4
563.899	n/a	tag	16
566.907	n/a	target	32
567.841	n/a	miss	128
568.959	n/a	cue_aud	1
569.521	n/a	tag	16
573.034	n/a	target	32
573.921	n/a	hit	64
575.156	n/a	cue_aud	1
575.731	n/a	tag	16
579.244	n/a	target	32
579.843	n/a	hit	64
581.065	n/a	cue_aud	1
581.607	n/a	tag	16
585.12	n/a	target	32
585.531	n/a	hit	64
586.662	n/a	cue_aud	1
587.231	n/a	tag	16
590.742	n/a	target	32
591.486	n/a	hit	64
