onset	duration	trial_type	value
504.985	n/a	cue_aud	1
505.104	n/a	tag	16
508.556	n/a	target	32
508.995	n/a	hit	64
510.115	n/a	cue_vis	4
510.676	n/a	tag	16
513.684	n/a	target	32
513.941	n/a	hit	64
515.179	n/a	cue_vis	4
515.711	n/a	tag	16
518.723	n/a	target	32
518.92	n/a	miss	128
520.142	n/a	cue_vis	4
520.748	n/a	tag	16
523.758	n/a	target	32
524.033	n/a	miss	128
525.166	n/a	cue_vis	4
525.784	n/a	tag	16
528.796	n/a	target	32
529.232	n/a	hit	64
530.445	n/a	cue_aud	1
530.984	n/a	tag	16
534.488	n/a	target	32
535.034	n/a	miss	128
536.32	n/a	cue_vis	4
536.86	n/a	tag	16
539.872	n/a	target	32
540.421	n/a	miss	128
541.659	n/a	cue_aud	1
542.232	n/a	tag	16
545.733	n/a	target	32
546.252	n/a	miss	128
547.465	n/a	cue_aud	1
548.022	n/a	tag	16
551.523	n/a	target	32
551.839	n/a	miss	128
552.874	n/a	cue_vis	4
553.479	n/a	tag	16
556.485	n/a	target	32
556.994	n/a	miss	128
558.113	n/a	cue_aud	1
558.68	n/a	tag	16
562.184	n/a	target	32
562.373	n/a	miss	128
563.552	n/a	cue_aud	1
564.136	n/a	tag	16
567.638	n/a	target	32
568.086	n/a	hit	64
569.226	n/a	cue_vis	4
569.758	n/a	tag	16
572.766	n/a	target	32
573.266	n/a	hit	64
574.283	n/a	cue_vis	4
574.88	n/a	tag	16
577.887	n/a	target	32
578.529	n/a	hit	64
579.599	n/a	cue_vis	4
580.165	n/a	tag	16
583.174	n/a	target	32
583.541	n/a	miss	128
584.793	n/a	cue_vis	4
585.369	n/a	tag	16
588.379	n/a	target	32
588.871	n/a	miss	128
589.877	n/a	cue_vis	4
590.404	n/a	tag	16
593.416	n/a	target	32
594.017	n/a	hit	64
595.277	n/a	cue_aud	1
595.859	n/a	tag	16
599.36	n/a	target	32
600.18	n/a	hit	64
601.205	n/a	cue_aud	1
601.818	n/a	tag	16
605.321	n/a	target	32
606.285	n/a	hit	64
607.488	n/a	cue_aud	1
608.028	n/a	tag	16
611.531	n/a	target	32
612.215	n/a	miss	128
613.367	n/a	cue_vis	4
613.905	n/a	tag	16
616.911	n/a	target	32
617.52	n/a	hit	64
618.587	n/a	cue_aud	1
619.191	n/a	tag	16
622.691	n/a	target	32
623.542	n/a	hit	64
624.715	n/a	cue_aud	1
625.316	n/a	tag	16
628.817	n/a	target	32
629.171	n/a	miss	128
630.209	n/a	cue_vis	4
630.771	n/a	tag	16
633.784	n/a	target	32
634.701	n/a	hit	64
635.904	n/a	cue_aud	1
636.479	n/a	tag	16
639.98	n/a	target	32
640.564	n/a	miss	128
641.746	n/a	cue_aud	1
642.352	n/a	tag	16
645.855	n/a	target	32
646.394	n/a	hit	64
647.412	n/a	cue_vis	4
647.976	n/a	tag	16
650.982	n/a	target	32
651.84	n/a	hit	64
655.862	n/a	cue_aud	1
656.452	n/a	tag	16
659.955	n/a	target	32
660.698	n/a	miss	128
661.745	n/a	cue_vis	4
662.326	n/a	tag	16
665.335	n/a	target	32
665.977	n/a	hit	64
666.985	n/a	cue_vis	4
667.529	n/a	tag	16
670.54	n/a	target	32
671.057	n/a	hit	64
672.189	n/a	cue_aud	1
672.732	n/a	tag	16
676.236	n/a	target	32
676.595	n/a	miss	128
677.846	n/a	cue_aud	1
678.441	n/a	tag	16
681.942	n/a	target	32
682.533	n/a	miss	128
683.72	n/a	cue_vis	4
684.316	n/a	tag	16
687.321	n/a	target	32
688.038	n/a	hit	64
689.195	n/a	cue_vis	4
689.77	n/a	tag	16
692.775	n/a	target	32
693.475	n/a	hit	64
694.736	n/a	cue_aud	1
695.309	n/a	tag	16
698.812	n/a	target	32
699.631	n/a	miss	128
700.662	n/a	cue_vis	4
701.267	n/a	tag	16
704.276	n/a	target	32
704.802	n/a	hit	64
706.076	n/a	cue_aud	1
706.64	n/a	tag	16
710.143	n/a	target	32
710.69	n/a	miss	128
711.724	n/a	cue_aud	1
712.262	n/a	tag	16
715.763	n/a	target	32
716.361	n/a	hit	64
717.518	n/a	cue_vis	4
718.054	n/a	tag	16
721.066	n/a	target	32
721.849	n/a	hit	64
722.894	n/a	cue_vis	4
723.424	n/a	tag	16
726.437	n/a	target	32
727.079	n/a	hit	64
728.248	n/a	cue_vis	4
728.795	n/a	tag	16
731.808	n/a	target	32
732.417	n/a	hit	64
733.42	n/a	cue_vis	4
733.999	n/a	tag	16
737.004	n/a	target	32
737.696	n/a	hit	64
738.928	n/a	cue_aud	1
739.453	n/a	tag	16
742.956	n/a	target	32
743.518	n/a	hit	64
744.774	n/a	cue_vis	4
745.329	n/a	tag	16
748.339	n/a	target	32
748.889	n/a	hit	64
750.166	n/a	cue_aud	1
750.699	n/a	tag	16
754.202	n/a	target	32
754.786	n/a	hit	64
756.083	n/a	cue_aud	1
756.658	n/a	tag	16
760.159	n/a	target	32
760.624	n/a	miss	128
761.777	n/a	cue_aud	1
762.366	n/a	tag	16
765.869	n/a	target	32
766.379	n/a	miss	128
767.462	n/a	cue_vis	4
767.988	n/a	tag	16
771.0	n/a	target	32
771.6	n/a	hit	64
772.632	n/a	cue_vis	4
773.191	n/a	tag	16
776.204	n/a	target	32
776.862	n/a	hit	64
778.016	n/a	cue_vis	4
778.562	n/a	tag	16
781.567	n/a	target	32
782.2	n/a	hit	64
783.378	n/a	cue_aud	1
783.933	n/a	tag	16
787.436	n/a	target	32
787.947	n/a	hit	64
789.177	n/a	cue_vis	4
789.724	n/a	tag	16
792.734	n/a	target	32
793.435	n/a	hit	64
794.461	n/a	cue_aud	1
795.013	n/a	tag	16
798.514	n/a	target	32
799.023	n/a	hit	64
800.223	n/a	cue_aud	1
800.802	n/a	tag	16
804.306	n/a	target	32
805.028	n/a	hit	64
810.068	n/a	cue_vis	4
810.621	n/a	tag	16
813.627	n/a	target	32
814.361	n/a	hit	64
815.414	n/a	cue_aud	1
815.994	n/a	tag	16
819.496	n/a	target	32
820.182	n/a	hit	64
821.466	n/a	cue_aud	1
822.035	n/a	tag	16
825.538	n/a	target	32
826.196	n/a	hit	64
827.375	n/a	cue_vis	4
827.91	n/a	tag	16
830.917	n/a	target	32
831.5	n/a	hit	64
832.634	n/a	cue_aud	1
833.197	n/a	tag	16
836.698	n/a	target	32
837.33	n/a	miss	128
838.614	n/a	cue_aud	1
839.156	n/a	tag	16
842.657	n/a	target	32
843.135	n/a	hit	64
844.334	n/a	cue_aud	1
844.945	n/a	tag	16
848.449	n/a	target	32
848.898	n/a	hit	64
850.036	n/a	cue_vis	4
850.57	n/a	tag	16
853.578	n/a	target	32
854.278	n/a	hit	64
855.531	n/a	cue_aud	1
856.107	n/a	tag	16
859.613	n/a	target	32
859.941	n/a	hit	64
861.102	n/a	cue_aud	1
861.648	n/a	tag	16
865.149	n/a	target	32
866.096	n/a	hit	64
867.264	n/a	cue_vis	4
867.86	n/a	tag	16
870.867	n/a	target	32
871.492	n/a	hit	64
872.698	n/a	cue_vis	4
873.231	n/a	tag	16
876.238	n/a	target	32
877.122	n/a	hit	64
878.234	n/a	cue_aud	1
878.853	n/a	tag	16
882.356	n/a	target	32
882.894	n/a	miss	128
883.967	n/a	cue_aud	1
884.56	n/a	tag	16
888.062	n/a	target	32
888.548	n/a	hit	64
889.724	n/a	cue_vis	4
890.266	n/a	tag	16
893.278	n/a	target	32
893.878	n/a	hit	64
895.14	n/a	cue_vis	4
895.723	n/a	tag	16
898.732	n/a	target	32
899.374	n/a	hit	64
900.498	n/a	cue_vis	4
901.091	n/a	tag	16
904.103	n/a	target	32
904.57	n/a	hit	64
905.606	n/a	cue_aud	1
906.211	n/a	tag	16
909.714	n/a	target	32
910.592	n/a	hit	64
911.727	n/a	cue_aud	1
912.337	n/a	tag	16
915.841	n/a	target	32
916.38	n/a	hit	64
917.472	n/a	cue_aud	1
918.045	n/a	tag	16
921.547	n/a	target	32
922.36	n/a	hit	64
923.482	n/a	cue_vis	4
924.088	n/a	tag	16
927.098	n/a	target	32
927.865	n/a	hit	64
929.117	n/a	cue_vis	4
929.71	n/a	tag	16
932.719	n/a	target	32
933.503	n/a	hit	64
934.626	n/a	cue_aud	1
935.164	n/a	tag	16
938.667	n/a	target	32
939.149	n/a	hit	64
940.268	n/a	cue_vis	4
940.875	n/a	tag	16
943.887	n/a	target	32
945.905	n/a	miss	128
947.015	n/a	cue_vis	4
947.587	n/a	tag	16
950.593	n/a	target	32
951.201	n/a	hit	64
952.245	n/a	cue_vis	4
952.79	n/a	tag	16
955.797	n/a	target	32
956.222	n/a	miss	128
957.302	n/a	cue_aud	1
957.91	n/a	tag	16
961.411	n/a	target	32
961.952	n/a	hit	64
965.001	n/a	cue_aud	1
965.545	n/a	tag	16
969.048	n/a	target	32
969.5	n/a	hit	64
970.63	n/a	cue_aud	1
971.169	n/a	tag	16
974.671	n/a	target	32
975.572	n/a	hit	64
976.651	n/a	cue_vis	4
977.212	n/a	tag	16
980.218	n/a	target	32
980.776	n/a	hit	64
981.867	n/a	cue_vis	4
982.416	n/a	tag	16
985.422	n/a	target	32
986.022	n/a	hit	64
987.151	n/a	cue_vis	4
987.702	n/a	tag	16
990.71	n/a	target	32
991.193	n/a	hit	64
992.231	n/a	cue_aud	1
992.822	n/a	tag	16
996.323	n/a	target	32
997.115	n/a	miss	128
998.265	n/a	cue_vis	4
998.863	n/a	tag	16
1001.869	n/a	target	32
1002.595	n/a	hit	64
1003.808	n/a	cue_aud	1
1004.403	n/a	tag	16
1007.906	n/a	target	32
1008.416	n/a	miss	128
1009.491	n/a	cue_vis	4
1010.109	n/a	tag	16
1013.12	n/a	target	32
1013.771	n/a	hit	64
1015.008	n/a	cue_aud	1
1015.565	n/a	tag	16
1019.068	n/a	target	32
1019.709	n/a	hit	64
1020.733	n/a	cue_aud	1
1021.271	n/a	tag	16
1024.774	n/a	target	32
1025.289	n/a	hit	64
1026.409	n/a	cue_vis	4
1026.978	n/a	tag	16
1029.985	n/a	target	32
1030.777	n/a	hit	64
1031.779	n/a	cue_vis	4
1032.351	n/a	tag	16
1035.364	n/a	target	32
1035.981	n/a	hit	64
1037.049	n/a	cue_aud	1
1037.639	n/a	tag	16
1041.14	n/a	target	32
1041.611	n/a	hit	64
1042.613	n/a	cue_aud	1
1043.175	n/a	tag	16
1046.678	n/a	target	32
1047.057	n/a	hit	64
1048.115	n/a	cue_aud	1
1048.715	n/a	tag	16
1052.216	n/a	target	32
1052.57	n/a	hit	64
1053.614	n/a	cue_aud	1
1054.171	n/a	tag	16
1057.674	n/a	target	32
1058.283	n/a	hit	64
1059.365	n/a	cue_aud	1
1059.961	n/a	tag	16
1063.463	n/a	target	32
1064.122	n/a	hit	64
1065.175	n/a	cue_aud	1
1065.752	n/a	tag	16
1069.254	n/a	target	32
1069.885	n/a	hit	64
1070.928	n/a	cue_aud	1
1071.541	n/a	tag	16
1075.046	n/a	target	32
1075.64	n/a	hit	64
1076.821	n/a	cue_vis	4
1077.417	n/a	tag	16
1080.427	n/a	target	32
1081.178	n/a	hit	64
1082.45	n/a	cue_aud	1
1083.039	n/a	tag	16
1086.545	n/a	target	32
1087.108	n/a	hit	64
1088.391	n/a	cue_vis	4
1089.0	n/a	tag	16
1092.012	n/a	target	32
1092.687	n/a	hit	64
1093.755	n/a	cue_vis	4
1094.369	n/a	tag	16
1097.375	n/a	target	32
1097.892	n/a	hit	64
1099.038	n/a	cue_vis	4
1099.574	n/a	tag	16
1102.579	n/a	target	32
1103.205	n/a	hit	64
1104.319	n/a	cue_vis	4
1104.862	n/a	tag	16
1107.867	n/a	target	32
1108.609	n/a	hit	64
1109.768	n/a	cue_vis	4
1110.316	n/a	tag	16
1113.322	n/a	target	32
1113.872	n/a	hit	64
1117.512	n/a	cue_aud	1
1118.121	n/a	tag	16
1121.622	n/a	target	32
1122.129	n/a	miss	128
1123.151	n/a	cue_vis	4
1123.743	n/a	tag	16
1126.75	n/a	target	32
1127.408	n/a	hit	64
1128.541	n/a	cue_aud	1
1129.114	n/a	tag	16
1132.618	n/a	target	32
1133.146	n/a	miss	128
1134.2	n/a	cue_aud	1
1134.738	n/a	tag	16
1138.241	n/a	target	32
1138.668	n/a	hit	64
1139.677	n/a	cue_vis	4
1140.278	n/a	tag	16
1143.289	n/a	target	32
1144.022	n/a	hit	64
1145.31	n/a	cue_vis	4
1145.9	n/a	tag	16
1148.91	n/a	target	32
1149.694	n/a	hit	64
1150.825	n/a	cue_vis	4
1151.438	n/a	tag	16
1154.448	n/a	target	32
1155.04	n/a	hit	64
1156.33	n/a	cue_vis	4
1156.893	n/a	tag	16
1159.903	n/a	target	32
1160.453	n/a	hit	64
1161.683	n/a	cue_aud	1
1162.266	n/a	tag	16
1165.767	n/a	target	32
1166.483	n/a	hit	64
1167.487	n/a	cue_aud	1
1168.057	n/a	tag	16
1171.558	n/a	target	32
1172.213	n/a	hit	64
1173.418	n/a	cue_vis	4
1174.016	n/a	tag	16
1177.025	n/a	target	32
1177.792	n/a	hit	64
1179.006	n/a	cue_vis	4
1179.554	n/a	tag	16
1182.563	n/a	target	32
1183.205	n/a	hit	64
1184.4	n/a	cue_vis	4
1185.009	n/a	tag	16
1188.018	n/a	target	32
1188.51	n/a	hit	64
1189.677	n/a	cue_vis	4
1190.296	n/a	tag	16
1193.306	n/a	target	32
1193.806	n/a	hit	64
1194.873	n/a	cue_aud	1
1195.416	n/a	tag	16
1198.917	n/a	target	32
1199.636	n/a	hit	64
1200.869	n/a	cue_aud	1
1201.458	n/a	tag	16
1204.961	n/a	target	32
1205.766	n/a	hit	64
1206.836	n/a	cue_aud	1
1207.417	n/a	tag	16
1210.92	n/a	target	32
1211.604	n/a	hit	64
1212.717	n/a	cue_aud	1
1213.29	n/a	tag	16
1216.793	n/a	target	32
1217.534	n/a	hit	64
1218.803	n/a	cue_vis	4
1219.416	n/a	tag	16
1222.422	n/a	target	32
1223.131	n/a	hit	64
1224.389	n/a	cue_vis	4
1224.957	n/a	tag	16
1227.968	n/a	target	32
1228.477	n/a	miss	128
1229.599	n/a	cue_aud	1
1230.16	n/a	tag	16
1233.661	n/a	target	32
1234.223	n/a	hit	64
1235.32	n/a	cue_vis	4
1235.866	n/a	tag	16
1238.877	n/a	target	32
1239.628	n/a	hit	64
1240.812	n/a	cue_vis	4
1241.406	n/a	tag	16
1244.416	n/a	target	32
1245.024	n/a	hit	64
1246.299	n/a	cue_vis	4
1246.861	n/a	tag	16
1249.87	n/a	target	32
1250.537	n/a	hit	64
1251.811	n/a	cue_aud	1
1252.399	n/a	tag	16
1255.902	n/a	target	32
1256.592	n/a	hit	64
1257.771	n/a	cue_vis	4
1258.358	n/a	tag	16
1261.363	n/a	target	32
1262.047	n/a	hit	64
1263.148	n/a	cue_aud	1
1263.729	n/a	tag	16
1267.234	n/a	target	32
1267.685	n/a	hit	64
1309.642	n/a	cue_vis	4
1310.226	n/a	tag	16
1313.232	n/a	target	32
1313.766	n/a	hit	64
1314.9	n/a	cue_vis	4
1315.512	n/a	tag	16
1318.52	n/a	target	32
1319.178	n/a	hit	64
1320.451	n/a	cue_aud	1
1321.049	n/a	tag	16
1324.553	n/a	target	32
1325.225	n/a	miss	128
1326.236	n/a	cue_aud	1
1326.84	n/a	tag	16
1330.344	n/a	target	32
1330.88	n/a	hit	64
1332.041	n/a	cue_vis	4
1332.632	n/a	tag	16
1335.642	n/a	target	32
1336.318	n/a	hit	64
1337.534	n/a	cue_vis	4
1338.089	n/a	tag	16
1341.097	n/a	target	32
1341.772	n/a	hit	64
