onset	duration	trial_type	value
402.76	n/a	cue_aud	1
402.879	n/a	tag	16
406.335	n/a	target	32
408.355	n/a	miss	128
409.474	n/a	cue_vis	4
410.038	n/a	tag	16
413.051	n/a	target	32
415.069	n/a	miss	128
416.306	n/a	cue_vis	4
416.922	n/a	tag	16
419.934	n/a	target	32
420.248	n/a	hit	64
421.47	n/a	cue_vis	4
422.042	n/a	tag	16
425.052	n/a	target	32
427.071	n/a	miss	128
428.203	n/a	cue_vis	4
428.754	n/a	tag	16
431.767	n/a	target	32
432.044	n/a	miss	128
433.257	n/a	cue_aud	1
433.874	n/a	tag	16
437.387	n/a	target	32
437.946	n/a	miss	128
439.233	n/a	cue_vis	4
439.833	n/a	tag	16
442.842	n/a	target	32
443.175	n/a	miss	128
444.412	n/a	cue_aud	1
444.952	n/a	tag	16
448.466	n/a	target	32
448.68	n/a	miss	128
449.893	n/a	cue_aud	1
450.491	n/a	tag	16
454.005	n/a	target	32
454.36	n/a	miss	128
455.394	n/a	cue_vis	4
455.945	n/a	tag	16
458.956	n/a	target	32
459.314	n/a	hit	64
460.434	n/a	cue_aud	1
460.981	n/a	tag	16
464.495	n/a	target	32
464.885	n/a	miss	128
466.064	n/a	cue_aud	1
466.605	n/a	tag	16
470.12	n/a	target	32
470.532	n/a	miss	128
471.671	n/a	cue_vis	4
472.227	n/a	tag	16
475.236	n/a	target	32
475.628	n/a	hit	64
476.644	n/a	cue_vis	4
477.179	n/a	tag	16
480.19	n/a	target	32
480.59	n/a	miss	128
481.66	n/a	cue_vis	4
482.215	n/a	tag	16
485.228	n/a	target	32
485.578	n/a	hit	64
486.83	n/a	cue_vis	4
487.419	n/a	tag	16
490.424	n/a	target	32
490.791	n/a	miss	128
491.797	n/a	cue_vis	4
492.368	n/a	tag	16
495.378	n/a	target	32
495.745	n/a	miss	128
497.005	n/a	cue_aud	1
497.572	n/a	tag	16
501.086	n/a	target	32
501.583	n/a	hit	64
502.608	n/a	cue_aud	1
503.196	n/a	tag	16
506.709	n/a	target	32
507.154	n/a	miss	128
508.356	n/a	cue_aud	1
508.901	n/a	tag	16
512.332	n/a	target	32
512.801	n/a	miss	128
513.952	n/a	cue_vis	4
514.525	n/a	tag	16
517.53	n/a	target	32
517.997	n/a	hit	64
519.064	n/a	cue_aud	1
519.644	n/a	tag	16
523.157	n/a	target	32
523.643	n/a	hit	64
524.817	n/a	cue_aud	1
525.35	n/a	tag	16
528.781	n/a	target	32
529.198	n/a	hit	64
530.236	n/a	cue_vis	4
530.807	n/a	tag	16
533.819	n/a	target	32
534.285	n/a	hit	64
535.488	n/a	cue_aud	1
536.092	n/a	tag	16
539.608	n/a	target	32
540.374	n/a	hit	64
541.555	n/a	cue_aud	1
542.137	n/a	tag	16
545.651	n/a	target	32
546.346	n/a	hit	64
547.364	n/a	cue_vis	4
547.926	n/a	tag	16
550.933	n/a	target	32
551.408	n/a	miss	128
572.401	n/a	cue_aud	1
572.936	n/a	tag	16
576.451	n/a	target	32
577.155	n/a	hit	64
578.202	n/a	cue_vis	4
578.812	n/a	tag	16
581.818	n/a	target	32
582.276	n/a	hit	64
583.283	n/a	cue_vis	4
583.845	n/a	tag	16
586.855	n/a	target	32
587.313	n/a	hit	64
588.446	n/a	cue_aud	1
589.049	n/a	tag	16
592.563	n/a	target	32
593.035	n/a	hit	64
594.286	n/a	cue_aud	1
594.84	n/a	tag	16
598.354	n/a	target	32
598.798	n/a	hit	64
599.985	n/a	cue_vis	4
600.548	n/a	tag	16
