onset	duration	trial_type	value
532.503	n/a	cue_aud	1
532.622	n/a	tag	16
536.07	n/a	target	32
537.246	n/a	hit	64
538.434	n/a	cue_vis	4
539.03	n/a	tag	16
542.044	n/a	target	32
543.368	n/a	hit	64
544.619	n/a	cue_vis	4
545.156	n/a	tag	16
548.167	n/a	target	32
549.098	n/a	miss	128
550.26	n/a	cue_vis	4
550.862	n/a	tag	16
553.869	n/a	target	32
554.536	n/a	hit	64
555.6	n/a	cue_vis	4
556.152	n/a	tag	16
559.157	n/a	target	32
560.018	n/a	miss	128
561.159	n/a	cue_vis	4
561.772	n/a	tag	16
564.778	n/a	target	32
565.437	n/a	hit	64
566.569	n/a	cue_aud	1
567.144	n/a	tag	16
570.646	n/a	target	32
571.075	n/a	hit	64
572.367	n/a	cue_vis	4
572.935	n/a	tag	16
575.946	n/a	target	32
576.713	n/a	miss	128
577.901	n/a	cue_aud	1
578.473	n/a	tag	16
581.976	n/a	target	32
582.418	n/a	hit	64
583.629	n/a	cue_aud	1
584.182	n/a	tag	16
587.682	n/a	target	32
588.214	n/a	hit	64
589.432	n/a	cue_vis	4
589.973	n/a	tag	16
592.985	n/a	target	32
593.736	n/a	hit	64
594.842	n/a	cue_aud	1
595.427	n/a	tag	16
598.929	n/a	target	32
599.315	n/a	hit	64
600.472	n/a	cue_vis	4
601.05	n/a	tag	16
604.061	n/a	target	32
604.62	n/a	hit	64
605.788	n/a	cue_vis	4
606.336	n/a	tag	16
609.349	n/a	target	32
610.116	n/a	miss	128
611.164	n/a	cue_vis	4
611.707	n/a	tag	16
614.712	n/a	target	32
615.429	n/a	hit	64
616.599	n/a	cue_aud	1
617.163	n/a	tag	16
620.665	n/a	target	32
621.175	n/a	hit	64
622.385	n/a	cue_vis	4
622.953	n/a	tag	16
625.963	n/a	target	32
626.73	n/a	hit	64
627.859	n/a	cue_vis	4
628.41	n/a	tag	16
631.417	n/a	target	32
632.11	n/a	hit	64
633.362	n/a	cue_aud	1
633.947	n/a	tag	16
637.45	n/a	target	32
638.006	n/a	hit	64
639.227	n/a	cue_aud	1
639.823	n/a	tag	16
643.323	n/a	target	32
643.769	n/a	hit	64
644.879	n/a	cue_aud	1
645.445	n/a	tag	16
648.948	n/a	target	32
649.491	n/a	hit	64
650.629	n/a	cue_vis	4
651.237	n/a	tag	16
654.245	n/a	target	32
654.938	n/a	miss	128
656.055	n/a	cue_aud	1
656.607	n/a	tag	16
660.11	n/a	target	32
660.592	n/a	hit	64
661.827	n/a	cue_aud	1
662.399	n/a	tag	16
665.9	n/a	target	32
666.338	n/a	hit	64
667.56	n/a	cue_aud	1
668.107	n/a	tag	16
671.607	n/a	target	32
672.035	n/a	hit	64
673.166	n/a	cue_aud	1
673.728	n/a	tag	16
677.231	n/a	target	32
677.782	n/a	hit	64
678.991	n/a	cue_vis	4
679.604	n/a	tag	16
682.611	n/a	target	32
683.386	n/a	hit	64
729.901	n/a	cue_vis	4
730.461	n/a	tag	16
733.47	n/a	target	32
734.146	n/a	miss	128
735.383	n/a	cue_vis	4
735.915	n/a	tag	16
738.925	n/a	target	32
739.475	n/a	hit	64
740.688	n/a	cue_vis	4
741.287	n/a	tag	16
744.296	n/a	target	32
744.963	n/a	hit	64
745.998	n/a	cue_aud	1
746.576	n/a	tag	16
750.076	n/a	target	32
750.576	n/a	hit	64
751.695	n/a	cue_aud	1
752.281	n/a	tag	16
755.782	n/a	target	32
756.273	n/a	hit	64
757.452	n/a	cue_vis	4
757.989	n/a	tag	16
761.002	n/a	target	32
761.744	n/a	miss	128
762.883	n/a	cue_vis	4
763.443	n/a	tag	16
766.448	n/a	target	32
767.173	n/a	hit	64
768.19	n/a	cue_aud	1
768.73	n/a	tag	16
772.233	n/a	target	32
772.728	n/a	hit	64
773.798	n/a	cue_vis	4
774.354	n/a	tag	16
777.366	n/a	target	32
778.116	n/a	miss	128
779.368	n/a	cue_aud	1
779.976	n/a	tag	16
783.477	n/a	target	32
783.963	n/a	hit	64
784.969	n/a	cue_aud	1
785.514	n/a	tag	16
789.017	n/a	target	32
789.409	n/a	hit	64
790.67	n/a	cue_aud	1
791.222	n/a	tag	16
794.725	n/a	target	32
795.214	n/a	hit	64
796.239	n/a	cue_vis	4
796.844	n/a	tag	16
799.851	n/a	target	32
800.693	n/a	hit	64
801.896	n/a	cue_vis	4
802.468	n/a	tag	16
805.473	n/a	target	32
806.281	n/a	hit	64
807.433	n/a	cue_vis	4
808.007	n/a	tag	16
811.019	n/a	target	32
811.761	n/a	miss	128
812.828	n/a	cue_aud	1
813.378	n/a	tag	16
816.88	n/a	target	32
817.241	n/a	hit	64
818.414	n/a	cue_vis	4
818.999	n/a	tag	16
822.012	n/a	target	32
