onset	duration	trial_type	value
97.23	n/a	cue_aud	1
97.348	n/a	tag	16
100.801	n/a	target	32
102.249	n/a	hit	64
103.368	n/a	cue_vis	4
103.92	n/a	tag	16
106.929	n/a	target	32
108.37	n/a	miss	128
109.607	n/a	cue_vis	4
110.213	n/a	tag	16
113.227	n/a	target	32
113.858	n/a	hit	64
115.081	n/a	cue_vis	4
115.668	n/a	tag	16
118.679	n/a	target	32
119.613	n/a	miss	128
120.746	n/a	cue_vis	4
121.291	n/a	tag	16
124.301	n/a	target	32
124.895	n/a	hit	64
126.109	n/a	cue_aud	1
126.662	n/a	tag	16
130.174	n/a	target	32
131.264	n/a	hit	64
132.551	n/a	cue_vis	4
133.126	n/a	tag	16
136.136	n/a	target	32
137.303	n/a	miss	128
138.54	n/a	cue_aud	1
139.085	n/a	tag	16
142.51	n/a	target	32
143.675	n/a	hit	64
144.889	n/a	cue_aud	1
145.462	n/a	tag	16
148.972	n/a	target	32
150.447	n/a	hit	64
151.482	n/a	cue_vis	4
152.091	n/a	tag	16
155.102	n/a	target	32
155.86	n/a	hit	64
156.979	n/a	cue_aud	1
157.548	n/a	tag	16
161.057	n/a	target	32
161.957	n/a	hit	64
163.136	n/a	cue_aud	1
163.674	n/a	tag	16
167.186	n/a	target	32
167.72	n/a	hit	64
168.859	n/a	cue_vis	4
169.464	n/a	tag	16
172.474	n/a	target	32
173.0	n/a	hit	64
174.016	n/a	cue_vis	4
174.586	n/a	tag	16
177.595	n/a	target	32
178.146	n/a	miss	128
179.216	n/a	cue_vis	4
179.786	n/a	tag	16
182.791	n/a	target	32
183.225	n/a	miss	128
184.477	n/a	cue_vis	4
185.076	n/a	tag	16
188.088	n/a	target	32
188.796	n/a	hit	64
189.802	n/a	cue_vis	4
190.363	n/a	tag	16
193.375	n/a	target	32
193.909	n/a	hit	64
195.17	n/a	cue_aud	1
195.734	n/a	tag	16
199.245	n/a	target	32
200.022	n/a	hit	64
201.047	n/a	cue_aud	1
201.609	n/a	tag	16
205.118	n/a	target	32
205.936	n/a	hit	64
207.138	n/a	cue_aud	1
207.735	n/a	tag	16
211.247	n/a	target	32
212.083	n/a	hit	64
213.234	n/a	cue_vis	4
213.778	n/a	tag	16
216.787	n/a	target	32
217.47	n/a	hit	64
218.537	n/a	cue_aud	1
219.148	n/a	tag	16
222.66	n/a	target	32
224.677	n/a	miss	128
225.85	n/a	cue_aud	1
226.449	n/a	tag	16
229.961	n/a	target	32
230.465	n/a	hit	64
231.503	n/a	cue_vis	4
232.073	n/a	tag	16
235.077	n/a	target	32
235.594	n/a	hit	64
236.797	n/a	cue_aud	1
237.36	n/a	tag	16
240.872	n/a	target	32
241.858	n/a	hit	64
243.039	n/a	cue_aud	1
243.57	n/a	tag	16
247.082	n/a	target	32
248.046	n/a	miss	128
249.065	n/a	cue_vis	4
249.613	n/a	tag	16
252.625	n/a	target	32
253.367	n/a	hit	64
273.388	n/a	cue_aud	1
273.951	n/a	tag	16
277.464	n/a	target	32
278.914	n/a	hit	64
279.961	n/a	cue_vis	4
280.496	n/a	tag	16
283.501	n/a	target	32
284.26	n/a	hit	64
285.267	n/a	cue_vis	4
285.869	n/a	tag	16
288.881	n/a	target	32
289.289	n/a	hit	64
290.422	n/a	cue_aud	1
290.986	n/a	tag	16
294.498	n/a	target	32
296.521	n/a	miss	128
297.772	n/a	cue_aud	1
298.373	n/a	tag	16
301.885	n/a	target	32
303.084	n/a	miss	128
304.271	n/a	cue_vis	4
304.837	n/a	tag	16
307.847	n/a	target	32
308.464	n/a	miss	128
309.621	n/a	cue_vis	4
310.207	n/a	tag	16
313.218	n/a	target	32
314.01	n/a	hit	64
315.271	n/a	cue_aud	1
315.829	n/a	tag	16
319.341	n/a	target	32
320.841	n/a	miss	128
321.872	n/a	cue_vis	4
322.46	n/a	tag	16
325.47	n/a	target	32
326.187	n/a	hit	64
327.461	n/a	cue_aud	1
327.998	n/a	tag	16
331.51	n/a	target	32
333.527	n/a	miss	128
334.561	n/a	cue_aud	1
335.132	n/a	tag	16
338.642	n/a	target	32
339.498	n/a	hit	64
340.655	n/a	cue_vis	4
341.257	n/a	tag	16
344.269	n/a	target	32
345.111	n/a	hit	64
346.156	n/a	cue_vis	4
346.715	n/a	tag	16
349.724	n/a	target	32
350.324	n/a	hit	64
351.494	n/a	cue_vis	4
352.085	n/a	tag	16
355.095	n/a	target	32
355.804	n/a	hit	64
356.807	n/a	cue_vis	4
357.372	n/a	tag	16
360.383	n/a	target	32
361.425	n/a	miss	128
362.657	n/a	cue_aud	1
363.245	n/a	tag	16
366.756	n/a	target	32
367.263	n/a	hit	64
368.52	n/a	cue_vis	4
369.12	n/a	tag	16
372.126	n/a	target	32
372.752	n/a	hit	64
374.028	n/a	cue_aud	1
374.577	n/a	tag	16
378.086	n/a	target	32
378.79	n/a	hit	64
380.088	n/a	cue_aud	1
380.62	n/a	tag	16
384.129	n/a	target	32
384.92	n/a	miss	128
386.073	n/a	cue_aud	1
386.663	n/a	tag	16
390.172	n/a	target	32
390.842	n/a	miss	128
391.925	n/a	cue_vis	4
392.535	n/a	tag	16
395.546	n/a	target	32
396.188	n/a	hit	64
397.22	n/a	cue_vis	4
397.822	n/a	tag	16
400.834	n/a	target	32
401.501	n/a	miss	128
402.655	n/a	cue_vis	4
403.193	n/a	tag	16
406.205	n/a	target	32
406.997	n/a	hit	64
408.174	n/a	cue_aud	1
408.734	n/a	tag	16
412.245	n/a	target	32
413.186	n/a	hit	64
414.416	n/a	cue_vis	4
415.028	n/a	tag	16
418.04	n/a	target	32
418.665	n/a	hit	64
419.692	n/a	cue_aud	1
420.23	n/a	tag	16
423.743	n/a	target	32
424.645	n/a	hit	64
425.845	n/a	cue_aud	1
426.441	n/a	tag	16
429.953	n/a	target	32
430.759	n/a	hit	64
773.903	n/a	cue_vis	4
774.477	n/a	tag	16
777.485	n/a	target	32
778.327	n/a	hit	64
779.38	n/a	cue_aud	1
779.931	n/a	tag	16
783.443	n/a	target	32
784.199	n/a	miss	128
785.482	n/a	cue_aud	1
786.058	n/a	tag	16
789.569	n/a	target	32
790.32	n/a	hit	64
791.499	n/a	cue_vis	4
792.1	n/a	tag	16
795.108	n/a	target	32
795.733	n/a	hit	64
796.867	n/a	cue_aud	1
797.472	n/a	tag	16
800.982	n/a	target	32
801.513	n/a	miss	128
802.797	n/a	cue_aud	1
803.346	n/a	tag	16
806.858	n/a	target	32
807.41	n/a	hit	64
808.608	n/a	cue_aud	1
809.222	n/a	tag	16
812.733	n/a	target	32
813.156	n/a	hit	64
814.293	n/a	cue_vis	4
814.843	n/a	tag	16
817.852	n/a	target	32
818.603	n/a	hit	64
819.856	n/a	cue_aud	1
820.468	n/a	tag	16
823.977	n/a	target	32
824.666	n/a	hit	64
825.827	n/a	cue_aud	1
826.426	n/a	tag	16
829.936	n/a	target	32
830.579	n/a	hit	64
831.747	n/a	cue_vis	4
832.299	n/a	tag	16
835.309	n/a	target	32
836.259	n/a	miss	128
837.465	n/a	cue_vis	4
838.007	n/a	tag	16
841.013	n/a	target	32
841.597	n/a	miss	128
842.709	n/a	cue_aud	1
843.294	n/a	tag	16
846.806	n/a	target	32
847.952	n/a	hit	64
849.026	n/a	cue_aud	1
849.588	n/a	tag	16
853.1	n/a	target	32
853.799	n/a	hit	64
854.974	n/a	cue_vis	4
855.547	n/a	tag	16
858.553	n/a	target	32
859.212	n/a	hit	64
860.473	n/a	cue_vis	4
861.004	n/a	tag	16
864.016	n/a	target	32
864.716	n/a	hit	64
865.84	n/a	cue_vis	4
866.456	n/a	tag	16
869.462	n/a	target	32
869.971	n/a	hit	64
871.006	n/a	cue_aud	1
871.578	n/a	tag	16
875.087	n/a	target	32
875.692	n/a	hit	64
876.827	n/a	cue_aud	1
877.368	n/a	tag	16
880.878	n/a	target	32
881.497	n/a	hit	64
882.589	n/a	cue_aud	1
883.159	n/a	tag	16
886.671	n/a	target	32
887.277	n/a	miss	128
888.399	n/a	cue_vis	4
888.948	n/a	tag	16
891.956	n/a	target	32
892.732	n/a	miss	128
893.983	n/a	cue_vis	4
894.573	n/a	tag	16
897.578	n/a	target	32
898.495	n/a	hit	64
899.618	n/a	cue_aud	1
900.194	n/a	tag	16
903.622	n/a	target	32
904.241	n/a	hit	64
905.36	n/a	cue_vis	4
905.902	n/a	tag	16
908.912	n/a	target	32
909.571	n/a	hit	64
910.681	n/a	cue_vis	4
911.273	n/a	tag	16
914.283	n/a	target	32
914.975	n/a	miss	128
916.019	n/a	cue_vis	4
916.56	n/a	tag	16
919.571	n/a	target	32
920.305	n/a	hit	64
921.384	n/a	cue_aud	1
921.933	n/a	tag	16
925.442	n/a	target	32
926.443	n/a	hit	64
934.11	n/a	cue_aud	1
934.688	n/a	tag	16
938.115	n/a	target	32
938.746	n/a	hit	64
939.876	n/a	cue_aud	1
940.479	n/a	tag	16
943.991	n/a	target	32
946.01	n/a	miss	128
947.089	n/a	cue_vis	4
947.696	n/a	tag	16
950.706	n/a	target	32
951.406	n/a	hit	64
952.497	n/a	cue_vis	4
953.066	n/a	tag	16
956.077	n/a	target	32
956.827	n/a	hit	64
957.956	n/a	cue_vis	4
958.524	n/a	tag	16
961.532	n/a	target	32
962.249	n/a	hit	64
963.286	n/a	cue_aud	1
963.895	n/a	tag	16
967.406	n/a	target	32
968.354	n/a	miss	128
969.504	n/a	cue_vis	4
970.104	n/a	tag	16
973.116	n/a	target	32
974.234	n/a	miss	128
975.447	n/a	cue_aud	1
975.98	n/a	tag	16
979.489	n/a	target	32
980.614	n/a	hit	64
981.689	n/a	cue_vis	4
982.273	n/a	tag	16
985.285	n/a	target	32
985.944	n/a	miss	128
987.181	n/a	cue_aud	1
987.728	n/a	tag	16
991.24	n/a	target	32
992.174	n/a	miss	128
993.198	n/a	cue_aud	1
993.771	n/a	tag	16
997.282	n/a	target	32
997.854	n/a	hit	64
998.974	n/a	cue_vis	4
999.562	n/a	tag	16
1002.575	n/a	target	32
1003.367	n/a	hit	64
1004.369	n/a	cue_vis	4
1004.933	n/a	tag	16
1007.937	n/a	target	32
1008.496	n/a	hit	64
1009.564	n/a	cue_aud	1
1010.137	n/a	tag	16
1013.564	n/a	target	32
1014.368	n/a	hit	64
1015.369	n/a	cue_aud	1
1015.928	n/a	tag	16
1019.437	n/a	target	32
1019.881	n/a	hit	64
1020.939	n/a	cue_aud	1
1021.549	n/a	tag	16
1025.062	n/a	target	32
1025.552	n/a	hit	64
1026.596	n/a	cue_aud	1
1027.171	n/a	tag	16
1030.683	n/a	target	32
1031.107	n/a	hit	64
1032.189	n/a	cue_aud	1
1032.796	n/a	tag	16
1036.308	n/a	target	32
1037.037	n/a	hit	64
1038.091	n/a	cue_aud	1
1038.671	n/a	tag	16
1042.181	n/a	target	32
1042.825	n/a	hit	64
1043.868	n/a	cue_aud	1
1044.463	n/a	tag	16
1047.972	n/a	target	32
1049.322	n/a	hit	64
1050.503	n/a	cue_vis	4
1051.091	n/a	tag	16
