onset	duration	trial_type	value
628.495	n/a	cue_vis	4
628.614	n/a	tag	16
631.622	n/a	target	32
633.639	n/a	miss	128
634.863	n/a	cue_vis	4
635.439	n/a	tag	16
638.455	n/a	target	32
639.043	n/a	miss	128
640.271	n/a	cue_vis	4
640.813	n/a	tag	16
643.823	n/a	target	32
644.581	n/a	miss	128
645.707	n/a	cue_aud	1
646.267	n/a	tag	16
649.705	n/a	target	32
650.136	n/a	hit	64
651.214	n/a	cue_aud	1
651.808	n/a	tag	16
655.243	n/a	target	32
655.844	n/a	hit	64
657.003	n/a	cue_vis	4
657.596	n/a	tag	16
660.603	n/a	target	32
661.22	n/a	hit	64
662.288	n/a	cue_aud	1
662.883	n/a	tag	16
666.321	n/a	target	32
666.692	n/a	hit	64
667.946	n/a	cue_aud	1
668.508	n/a	tag	16
672.026	n/a	target	32
672.547	n/a	miss	128
673.748	n/a	cue_aud	1
674.297	n/a	tag	16
677.734	n/a	target	32
678.177	n/a	hit	64
679.424	n/a	cue_vis	4
680.005	n/a	tag	16
683.014	n/a	target	32
683.539	n/a	hit	64
684.78	n/a	cue_aud	1
685.375	n/a	tag	16
688.813	n/a	target	32
689.569	n/a	hit	64
690.712	n/a	cue_vis	4
691.251	n/a	tag	16
694.257	n/a	target	32
695.174	n/a	miss	128
696.269	n/a	cue_aud	1
696.875	n/a	tag	16
700.394	n/a	target	32
700.837	n/a	miss	128
702.045	n/a	cue_aud	1
702.58	n/a	tag	16
706.102	n/a	target	32
706.45	n/a	hit	64
707.748	n/a	cue_aud	1
708.288	n/a	tag	16
711.724	n/a	target	32
712.247	n/a	hit	64
713.479	n/a	cue_aud	1
714.077	n/a	tag	16
717.515	n/a	target	32
718.569	n/a	hit	64
719.819	n/a	cue_aud	1
720.371	n/a	tag	16
723.809	n/a	target	32
724.215	n/a	hit	64
725.429	n/a	cue_aud	1
725.995	n/a	tag	16
729.433	n/a	target	32
729.886	n/a	hit	64
731.067	n/a	cue_aud	1
731.618	n/a	tag	16
735.055	n/a	target	32
