onset	duration	trial_type	value
587.177	n/a	cue_aud	1
587.296	n/a	tag	16
590.817	n/a	target	32
592.838	n/a	miss	128
594.026	n/a	cue_vis	4
594.638	n/a	tag	16
597.643	n/a	target	32
598.585	n/a	miss	128
599.835	n/a	cue_vis	4
600.429	n/a	tag	16
603.442	n/a	target	32
604.289	n/a	miss	128
605.451	n/a	cue_vis	4
606.052	n/a	tag	16
609.06	n/a	target	32
609.752	n/a	hit	64
610.816	n/a	cue_vis	4
611.425	n/a	tag	16
614.432	n/a	target	32
615.285	n/a	miss	128
616.425	n/a	cue_vis	4
617.046	n/a	tag	16
620.053	n/a	target	32
620.895	n/a	hit	64
622.028	n/a	cue_aud	1
622.584	n/a	tag	16
626.066	n/a	target	32
626.616	n/a	hit	64
627.908	n/a	cue_vis	4
628.46	n/a	tag	16
631.471	n/a	target	32
632.372	n/a	miss	128
633.559	n/a	cue_aud	1
634.167	n/a	tag	16
637.644	n/a	target	32
638.785	n/a	hit	64
639.995	n/a	cue_aud	1
640.545	n/a	tag	16
644.024	n/a	target	32
644.765	n/a	hit	64
645.983	n/a	cue_vis	4
646.588	n/a	tag	16
649.594	n/a	target	32
650.637	n/a	hit	64
651.743	n/a	cue_aud	1
652.296	n/a	tag	16
655.773	n/a	target	32
656.316	n/a	hit	64
657.473	n/a	cue_vis	4
658.0	n/a	tag	16
661.012	n/a	target	32
661.621	n/a	hit	64
662.789	n/a	cue_vis	4
663.372	n/a	tag	16
666.383	n/a	target	32
667.15	n/a	hit	64
668.199	n/a	cue_vis	4
668.743	n/a	tag	16
671.755	n/a	target	32
672.68	n/a	hit	64
673.851	n/a	cue_aud	1
674.45	n/a	tag	16
677.929	n/a	target	32
678.752	n/a	hit	64
679.962	n/a	cue_vis	4
680.577	n/a	tag	16
683.581	n/a	target	32
684.373	n/a	hit	64
685.503	n/a	cue_vis	4
686.117	n/a	tag	16
689.127	n/a	target	32
690.086	n/a	hit	64
691.339	n/a	cue_aud	1
691.906	n/a	tag	16
695.386	n/a	target	32
695.916	n/a	hit	64
697.137	n/a	cue_aud	1
697.698	n/a	tag	16
701.175	n/a	target	32
701.755	n/a	hit	64
702.864	n/a	cue_aud	1
703.406	n/a	tag	16
706.885	n/a	target	32
707.326	n/a	hit	64
708.464	n/a	cue_vis	4
709.027	n/a	tag	16
712.039	n/a	target	32
712.731	n/a	hit	64
713.848	n/a	cue_aud	1
714.397	n/a	tag	16
717.877	n/a	target	32
718.869	n/a	hit	64
720.103	n/a	cue_aud	1
720.692	n/a	tag	16
724.171	n/a	target	32
724.749	n/a	hit	64
725.971	n/a	cue_aud	1
726.568	n/a	tag	16
730.046	n/a	target	32
730.629	n/a	hit	64
731.76	n/a	cue_aud	1
732.357	n/a	tag	16
735.837	n/a	target	32
736.567	n/a	hit	64
737.777	n/a	cue_vis	4
738.317	n/a	tag	16
741.33	n/a	target	32
742.114	n/a	miss	128
787.364	n/a	cue_vis	4
787.917	n/a	tag	16
790.922	n/a	target	32
791.422	n/a	hit	64
792.659	n/a	cue_vis	4
793.204	n/a	tag	16
796.21	n/a	target	32
796.868	n/a	miss	128
798.082	n/a	cue_vis	4
798.657	n/a	tag	16
801.664	n/a	target	32
802.398	n/a	hit	64
803.432	n/a	cue_aud	1
804.03	n/a	tag	16
807.509	n/a	target	32
809.529	n/a	miss	128
810.648	n/a	cue_aud	1
811.246	n/a	tag	16
814.728	n/a	target	32
815.776	n/a	hit	64
816.955	n/a	cue_vis	4
817.54	n/a	tag	16
820.547	n/a	target	32
821.447	n/a	hit	64
822.587	n/a	cue_vis	4
823.164	n/a	tag	16
826.177	n/a	target	32
826.885	n/a	miss	128
827.902	n/a	cue_aud	1
828.453	n/a	tag	16
831.931	n/a	target	32
832.532	n/a	hit	64
833.602	n/a	cue_vis	4
834.159	n/a	tag	16
837.169	n/a	target	32
837.97	n/a	hit	64
839.221	n/a	cue_aud	1
