onset	duration	trial_type	value
124.24	n/a	cue_vis	4
124.359	n/a	tag	16
127.367	n/a	target	32
127.724	n/a	hit	64
128.991	n/a	cue_aud	1
129.601	n/a	tag	16
133.062	n/a	target	32
133.704	n/a	hit	64
134.745	n/a	cue_aud	1
135.306	n/a	tag	16
138.771	n/a	target	32
139.259	n/a	hit	64
140.52	n/a	cue_vis	4
141.097	n/a	tag	16
144.108	n/a	target	32
144.93	n/a	miss	128
146.203	n/a	cue_vis	4
146.804	n/a	tag	16
149.81	n/a	target	32
150.537	n/a	miss	128
151.606	n/a	cue_aud	1
152.177	n/a	tag	16
155.639	n/a	target	32
156.423	n/a	miss	128
157.448	n/a	cue_vis	4
158.05	n/a	tag	16
161.06	n/a	target	32
161.878	n/a	miss	128
163.022	n/a	cue_vis	4
163.589	n/a	tag	16
166.599	n/a	target	32
167.315	n/a	hit	64
168.568	n/a	cue_aud	1
169.127	n/a	tag	16
172.592	n/a	target	32
173.463	n/a	miss	128
174.605	n/a	cue_vis	4
175.171	n/a	tag	16
178.183	n/a	target	32
178.951	n/a	hit	64
180.077	n/a	cue_aud	1
180.625	n/a	tag	16
184.09	n/a	target	32
185.156	n/a	miss	128
186.309	n/a	cue_vis	4
186.837	n/a	tag	16
189.843	n/a	target	32
190.485	n/a	hit	64
191.524	n/a	cue_aud	1
192.124	n/a	tag	16
195.586	n/a	target	32
196.44	n/a	hit	64
197.481	n/a	cue_vis	4
198.083	n/a	tag	16
201.094	n/a	target	32
201.811	n/a	miss	128
203.074	n/a	cue_vis	4
203.622	n/a	tag	16
206.632	n/a	target	32
207.266	n/a	hit	64
208.448	n/a	cue_aud	1
208.992	n/a	tag	16
212.457	n/a	target	32
213.321	n/a	hit	64
214.402	n/a	cue_aud	1
214.951	n/a	tag	16
218.415	n/a	target	32
219.076	n/a	miss	128
220.337	n/a	cue_aud	1
220.91	n/a	tag	16
224.372	n/a	target	32
225.214	n/a	miss	128
226.233	n/a	cue_aud	1
226.785	n/a	tag	16
230.247	n/a	target	32
230.952	n/a	hit	64
232.091	n/a	cue_vis	4
232.658	n/a	tag	16
235.665	n/a	target	32
236.474	n/a	hit	64
237.692	n/a	cue_vis	4
238.282	n/a	tag	16
241.295	n/a	target	32
241.812	n/a	hit	64
242.915	n/a	cue_vis	4
243.486	n/a	tag	16
246.491	n/a	target	32
247.033	n/a	hit	64
248.155	n/a	cue_vis	4
248.689	n/a	tag	16
251.695	n/a	target	32
252.254	n/a	miss	128
253.413	n/a	cue_vis	4
253.977	n/a	tag	16
256.983	n/a	target	32
257.6	n/a	miss	128
258.87	n/a	cue_vis	4
259.432	n/a	tag	16
262.438	n/a	target	32
263.146	n/a	hit	64
264.382	n/a	cue_vis	4
264.972	n/a	tag	16
267.984	n/a	target	32
268.759	n/a	miss	128
269.782	n/a	cue_vis	4
270.342	n/a	tag	16
273.347	n/a	target	32
274.047	n/a	hit	64
277.376	n/a	cue_aud	1
277.98	n/a	tag	16
281.441	n/a	target	32
282.546	n/a	hit	64
283.661	n/a	cue_vis	4
284.273	n/a	tag	16
287.283	n/a	target	32
288.701	n/a	miss	128
289.962	n/a	cue_aud	1
290.569	n/a	tag	16
294.031	n/a	target	32
294.848	n/a	hit	64
295.976	n/a	cue_vis	4
296.526	n/a	tag	16
299.535	n/a	target	32
300.211	n/a	hit	64
301.284	n/a	cue_vis	4
301.813	n/a	tag	16
304.823	n/a	target	32
305.524	n/a	hit	64
306.705	n/a	cue_aud	1
307.267	n/a	tag	16
310.732	n/a	target	32
311.596	n/a	miss	128
312.741	n/a	cue_vis	4
313.31	n/a	tag	16
316.316	n/a	target	32
317.234	n/a	hit	64
318.505	n/a	cue_aud	1
319.102	n/a	tag	16
322.564	n/a	target	32
323.414	n/a	hit	64
324.696	n/a	cue_vis	4
325.228	n/a	tag	16
328.235	n/a	target	32
329.002	n/a	hit	64
330.249	n/a	cue_vis	4
330.85	n/a	tag	16
333.856	n/a	target	32
334.665	n/a	hit	64
335.879	n/a	cue_aud	1
336.474	n/a	tag	16
339.937	n/a	target	32
340.678	n/a	hit	64
341.903	n/a	cue_aud	1
342.517	n/a	tag	16
345.979	n/a	target	32
347.109	n/a	hit	64
348.38	n/a	cue_vis	4
348.978	n/a	tag	16
351.988	n/a	target	32
352.722	n/a	hit	64
353.743	n/a	cue_aud	1
354.348	n/a	tag	16
357.815	n/a	target	32
358.352	n/a	hit	64
359.454	n/a	cue_aud	1
360.057	n/a	tag	16
363.519	n/a	target	32
364.315	n/a	hit	64
365.318	n/a	cue_aud	1
365.931	n/a	tag	16
369.394	n/a	target	32
370.095	n/a	hit	64
371.345	n/a	cue_aud	1
