onset	duration	trial_type	value
166.899	n/a	cue_aud	1
167.019	n/a	tag	16
170.454	n/a	target	32
171.393	n/a	miss	128
172.531	n/a	cue_aud	1
173.089	n/a	tag	16
176.58	n/a	target	32
177.223	n/a	hit	64
178.378	n/a	cue_aud	1
178.963	n/a	tag	16
182.454	n/a	target	32
182.953	n/a	hit	64
184.114	n/a	cue_aud	1
184.67	n/a	tag	16
188.163	n/a	target	32
188.758	n/a	hit	64
190.019	n/a	cue_aud	1
190.632	n/a	tag	16
194.12	n/a	target	32
194.933	n/a	miss	128
196.141	n/a	cue_vis	4
196.672	n/a	tag	16
199.685	n/a	target	32
200.96	n/a	miss	128
202.206	n/a	cue_vis	4
202.798	n/a	tag	16
205.808	n/a	target	32
206.339	n/a	hit	64
207.501	n/a	cue_aud	1
208.088	n/a	tag	16
211.576	n/a	target	32
212.795	n/a	miss	128
214.083	n/a	cue_aud	1
214.632	n/a	tag	16
218.123	n/a	target	32
218.984	n/a	miss	128
220.006	n/a	cue_vis	4
220.59	n/a	tag	16
223.596	n/a	target	32
224.288	n/a	miss	128
225.452	n/a	cue_aud	1
226.045	n/a	tag	16
229.538	n/a	target	32
230.302	n/a	hit	64
231.388	n/a	cue_vis	4
231.921	n/a	tag	16
234.93	n/a	target	32
235.439	n/a	miss	128
236.586	n/a	cue_vis	4
237.124	n/a	tag	16
240.135	n/a	target	32
242.153	n/a	miss	128
243.36	n/a	cue_vis	4
243.923	n/a	tag	16
246.933	n/a	target	32
247.524	n/a	miss	128
248.588	n/a	cue_vis	4
249.126	n/a	tag	16
252.137	n/a	target	32
252.728	n/a	miss	128
253.912	n/a	cue_aud	1
254.496	n/a	tag	16
257.985	n/a	target	32
258.575	n/a	hit	64
259.674	n/a	cue_aud	1
260.205	n/a	tag	16
263.693	n/a	target	32
264.497	n/a	hit	64
265.763	n/a	cue_aud	1
266.331	n/a	tag	16
269.819	n/a	target	32
270.418	n/a	hit	64
271.46	n/a	cue_vis	4
272.037	n/a	tag	16
275.048	n/a	target	32
275.798	n/a	hit	64
276.83	n/a	cue_vis	4
277.407	n/a	tag	16
280.419	n/a	target	32
281.044	n/a	miss	128
282.333	n/a	cue_vis	4
282.864	n/a	tag	16
285.873	n/a	target	32
286.465	n/a	hit	64
287.513	n/a	cue_vis	4
288.068	n/a	tag	16
