onset	duration	trial_type	value
66.346	n/a	cue_vis	4
66.465	n/a	tag	16
69.472	n/a	target	32
70.681	n/a	hit	64
71.747	n/a	cue_vis	4
72.284	n/a	tag	16
75.293	n/a	target	32
76.536	n/a	miss	128
77.782	n/a	cue_vis	4
78.326	n/a	tag	16
81.332	n/a	target	32
82.032	n/a	hit	64
83.152	n/a	cue_vis	4
83.696	n/a	tag	16
86.703	n/a	target	32
87.345	n/a	miss	128
88.363	n/a	cue_aud	1
88.9	n/a	tag	16
92.335	n/a	target	32
94.351	n/a	miss	128
95.465	n/a	cue_aud	1
96.035	n/a	tag	16
99.552	n/a	target	32
99.939	n/a	miss	128
101.173	n/a	cue_vis	4
101.741	n/a	tag	16
104.751	n/a	target	32
105.66	n/a	hit	64
106.712	n/a	cue_vis	4
107.279	n/a	tag	16
110.289	n/a	target	32
111.19	n/a	hit	64
112.465	n/a	cue_aud	1
113.071	n/a	tag	16
116.506	n/a	target	32
117.395	n/a	miss	128
118.492	n/a	cue_vis	4
119.03	n/a	tag	16
122.041	n/a	target	32
122.916	n/a	miss	128
124.017	n/a	cue_aud	1
124.568	n/a	tag	16
128.086	n/a	target	32
129.33	n/a	miss	128
130.393	n/a	cue_aud	1
130.947	n/a	tag	16
134.464	n/a	target	32
135.068	n/a	hit	64
136.3	n/a	cue_aud	1
136.905	n/a	tag	16
140.423	n/a	target	32
141.232	n/a	hit	64
142.254	n/a	cue_aud	1
142.865	n/a	tag	16
146.382	n/a	target	32
147.07	n/a	miss	128
148.357	n/a	cue_aud	1
148.906	n/a	tag	16
152.341	n/a	target	32
152.892	n/a	hit	64
153.941	n/a	cue_aud	1
154.53	n/a	tag	16
157.963	n/a	target	32
158.496	n/a	hit	64
159.584	n/a	cue_vis	4
160.152	n/a	tag	16
163.159	n/a	target	32
164.109	n/a	hit	64
165.317	n/a	cue_aud	1
165.86	n/a	tag	16
169.378	n/a	target	32
170.248	n/a	miss	128
171.292	n/a	cue_aud	1
171.902	n/a	tag	16
175.337	n/a	target	32
175.911	n/a	hit	64
177.066	n/a	cue_vis	4
177.608	n/a	tag	16
180.615	n/a	target	32
181.491	n/a	hit	64
182.709	n/a	cue_vis	4
183.316	n/a	tag	16
186.32	n/a	target	32
187.029	n/a	miss	128
188.309	n/a	cue_aud	1
188.855	n/a	tag	16
192.372	n/a	target	32
193.151	n/a	hit	64
194.372	n/a	cue_aud	1
194.98	n/a	tag	16
198.416	n/a	target	32
199.031	n/a	hit	64
200.257	n/a	cue_aud	1
200.856	n/a	tag	16
204.374	n/a	target	32
205.236	n/a	miss	128
206.36	n/a	cue_aud	1
206.899	n/a	tag	16
210.417	n/a	target	32
211.124	n/a	hit	64
212.198	n/a	cue_vis	4
212.774	n/a	tag	16
215.787	n/a	target	32
216.771	n/a	hit	64
217.928	n/a	cue_aud	1
218.481	n/a	tag	16
221.998	n/a	target	32
222.659	n/a	miss	128
232.994	n/a	cue_vis	4
233.587	n/a	tag	16
236.596	n/a	target	32
237.505	n/a	hit	64
238.759	n/a	cue_aud	1
239.293	n/a	tag	16
242.81	n/a	target	32
243.435	n/a	hit	64
244.635	n/a	cue_vis	4
245.251	n/a	tag	16
248.256	n/a	target	32
248.939	n/a	hit	64
250.186	n/a	cue_aud	1
250.792	n/a	tag	16
254.308	n/a	target	32
256.321	n/a	miss	128
257.56	n/a	cue_vis	4
258.093	n/a	tag	16
261.1	n/a	target	32
262.009	n/a	miss	128
263.151	n/a	cue_vis	4
263.716	n/a	tag	16
266.721	n/a	target	32
267.563	n/a	miss	128
268.658	n/a	cue_aud	1
269.255	n/a	tag	16
272.69	n/a	target	32
273.302	n/a	hit	64
274.51	n/a	cue_vis	4
275.044	n/a	tag	16
278.056	n/a	target	32
278.706	n/a	miss	128
280.004	n/a	cue_vis	4
280.584	n/a	tag	16
283.594	n/a	target	32
284.469	n/a	miss	128
285.702	n/a	cue_vis	4
286.29	n/a	tag	16
289.299	n/a	target	32
289.891	n/a	hit	64
291.141	n/a	cue_vis	4
291.747	n/a	tag	16
294.753	n/a	target	32
295.554	n/a	hit	64
296.767	n/a	cue_aud	1
297.368	n/a	tag	16
300.804	n/a	target	32
301.826	n/a	miss	128
303.006	n/a	cue_aud	1
303.579	n/a	tag	16
307.014	n/a	target	32
307.856	n/a	miss	128
309.083	n/a	cue_vis	4
309.621	n/a	tag	16
312.627	n/a	target	32
313.269	n/a	hit	64
314.419	n/a	cue_aud	1
314.992	n/a	tag	16
318.426	n/a	target	32
319.074	n/a	miss	128
320.335	n/a	cue_aud	1
320.867	n/a	tag	16
324.302	n/a	target	32
324.962	n/a	miss	128
325.984	n/a	cue_aud	1
326.576	n/a	tag	16
330.094	n/a	target	32
330.834	n/a	hit	64
332.126	n/a	cue_vis	4
332.701	n/a	tag	16
335.713	n/a	target	32
336.747	n/a	miss	128
337.778	n/a	cue_vis	4
338.324	n/a	tag	16
341.334	n/a	target	32
342.218	n/a	miss	128
343.384	n/a	cue_vis	4
343.947	n/a	tag	16
346.956	n/a	target	32
347.865	n/a	miss	128
348.987	n/a	cue_aud	1
349.57	n/a	tag	16
353.004	n/a	target	32
353.711	n/a	hit	64
354.745	n/a	cue_vis	4
355.361	n/a	tag	16
358.374	n/a	target	32
359.157	n/a	hit	64
360.376	n/a	cue_vis	4
360.983	n/a	tag	16
363.995	n/a	target	32
364.971	n/a	miss	128
366.156	n/a	cue_aud	1
366.69	n/a	tag	16
370.21	n/a	target	32
370.951	n/a	miss	128
372.187	n/a	cue_vis	4
372.733	n/a	tag	16
375.738	n/a	target	32
376.681	n/a	hit	64
377.852	n/a	cue_aud	1
378.439	n/a	tag	16
381.959	n/a	target	32
382.944	n/a	miss	128
384.189	n/a	cue_vis	4
384.735	n/a	tag	16
387.74	n/a	target	32
388.724	n/a	miss	128
396.845	n/a	cue_aud	1
397.406	n/a	tag	16
400.925	n/a	target	32
401.635	n/a	hit	64
402.92	n/a	cue_aud	1
403.533	n/a	tag	16
406.967	n/a	target	32
407.848	n/a	miss	128
