onset	duration	trial_type	value
201.217	n/a	cue_vis	4
201.336	n/a	tag	16
204.344	n/a	target	32
205.302	n/a	hit	64
206.48	n/a	cue_vis	4
207.076	n/a	tag	16
210.084	n/a	target	32
210.765	n/a	hit	64
212.041	n/a	cue_aud	1
212.614	n/a	tag	16
216.103	n/a	target	32
217.354	n/a	hit	64
218.547	n/a	cue_vis	4
219.162	n/a	tag	16
222.175	n/a	target	32
222.992	n/a	miss	128
224.153	n/a	cue_vis	4
224.7	n/a	tag	16
227.713	n/a	target	32
228.09	n/a	miss	128
229.172	n/a	cue_vis	4
229.737	n/a	tag	16
232.742	n/a	target	32
233.342	n/a	miss	128
234.362	n/a	cue_aud	1
234.939	n/a	tag	16
238.428	n/a	target	32
238.897	n/a	hit	64
240.118	n/a	cue_vis	4
240.73	n/a	tag	16
243.743	n/a	target	32
244.26	n/a	miss	128
245.311	n/a	cue_aud	1
245.848	n/a	tag	16
249.336	n/a	target	32
250.223	n/a	miss	128
251.309	n/a	cue_vis	4
251.893	n/a	tag	16
254.902	n/a	target	32
255.769	n/a	miss	128
256.849	n/a	cue_vis	4
257.43	n/a	tag	16
260.44	n/a	target	32
260.999	n/a	hit	64
262.165	n/a	cue_vis	4
262.718	n/a	tag	16
265.728	n/a	target	32
266.512	n/a	hit	64
267.676	n/a	cue_aud	1
268.256	n/a	tag	16
271.747	n/a	target	32
272.667	n/a	miss	128
273.905	n/a	cue_vis	4
274.466	n/a	tag	16
277.471	n/a	target	32
278.246	n/a	hit	64
279.51	n/a	cue_aud	1
280.09	n/a	tag	16
283.579	n/a	target	32
284.16	n/a	hit	64
285.398	n/a	cue_aud	1
285.965	n/a	tag	16
289.453	n/a	target	32
289.931	n/a	hit	64
291.224	n/a	cue_aud	1
291.84	n/a	tag	16
295.327	n/a	target	32
296.07	n/a	hit	64
297.126	n/a	cue_vis	4
297.713	n/a	tag	16
300.724	n/a	target	32
301.341	n/a	hit	64
302.622	n/a	cue_aud	1
303.17	n/a	tag	16
306.659	n/a	target	32
307.171	n/a	hit	64
308.186	n/a	cue_aud	1
308.792	n/a	tag	16
312.28	n/a	target	32
312.801	n/a	hit	64
313.874	n/a	cue_vis	4
314.416	n/a	tag	16
317.421	n/a	target	32
318.656	n/a	hit	64
319.66	n/a	cue_vis	4
320.206	n/a	tag	16
323.218	n/a	target	32
323.51	n/a	hit	64
