onset	duration	trial_type	value
512.225	n/a	cue_aud	1
512.344	n/a	tag	16
515.81	n/a	target	32
517.828	n/a	miss	128
518.947	n/a	cue_vis	4
519.506	n/a	tag	16
522.516	n/a	target	32
523.424	n/a	miss	128
524.661	n/a	cue_vis	4
525.214	n/a	tag	16
528.222	n/a	target	32
528.912	n/a	hit	64
530.134	n/a	cue_vis	4
530.669	n/a	tag	16
533.674	n/a	target	32
534.566	n/a	miss	128
535.699	n/a	cue_vis	4
536.291	n/a	tag	16
539.296	n/a	target	32
540.057	n/a	hit	64
541.272	n/a	cue_aud	1
541.832	n/a	tag	16
545.266	n/a	target	32
546.535	n/a	hit	64
547.821	n/a	cue_vis	4
548.375	n/a	tag	16
551.381	n/a	target	32
552.273	n/a	miss	128
553.51	n/a	cue_aud	1
554.083	n/a	tag	16
557.603	n/a	target	32
558.253	n/a	hit	64
559.466	n/a	cue_aud	1
560.04	n/a	tag	16
563.478	n/a	target	32
564.759	n/a	miss	128
565.793	n/a	cue_vis	4
566.336	n/a	tag	16
569.346	n/a	target	32
570.155	n/a	hit	64
571.275	n/a	cue_aud	1
571.875	n/a	tag	16
575.31	n/a	target	32
577.328	n/a	miss	128
578.507	n/a	cue_aud	1
579.091	n/a	tag	16
582.527	n/a	target	32
582.974	n/a	hit	64
584.113	n/a	cue_vis	4
584.715	n/a	tag	16
587.72	n/a	target	32
588.729	n/a	hit	64
589.745	n/a	cue_vis	4
590.337	n/a	tag	16
593.349	n/a	target	32
594.158	n/a	hit	64
595.228	n/a	cue_vis	4
595.794	n/a	tag	16
598.804	n/a	target	32
599.621	n/a	hit	64
600.873	n/a	cue_vis	4
601.416	n/a	tag	16
604.425	n/a	target	32
605.434	n/a	hit	64
606.44	n/a	cue_vis	4
607.04	n/a	tag	16
610.047	n/a	target	32
610.672	n/a	hit	64
611.933	n/a	cue_aud	1
612.495	n/a	tag	16
615.93	n/a	target	32
616.419	n/a	hit	64
617.444	n/a	cue_aud	1
618.032	n/a	tag	16
621.551	n/a	target	32
622.048	n/a	hit	64
623.251	n/a	cue_aud	1
623.824	n/a	tag	16
627.343	n/a	target	32
627.945	n/a	hit	64
629.097	n/a	cue_vis	4
629.7	n/a	tag	16
632.708	n/a	target	32
633.45	n/a	hit	64
634.516	n/a	cue_aud	1
635.07	n/a	tag	16
638.589	n/a	target	32
639.346	n/a	hit	64
640.519	n/a	cue_aud	1
641.113	n/a	tag	16
644.632	n/a	target	32
645.16	n/a	hit	64
646.198	n/a	cue_vis	4
646.734	n/a	tag	16
649.747	n/a	target	32
650.472	n/a	hit	64
651.675	n/a	cue_aud	1
652.275	n/a	tag	16
655.711	n/a	target	32
656.861	n/a	miss	128
658.042	n/a	cue_aud	1
658.568	n/a	tag	16
662.005	n/a	target	32
662.533	n/a	hit	64
663.551	n/a	cue_vis	4
664.107	n/a	tag	16
667.111	n/a	target	32
667.979	n/a	hit	64
686.556	n/a	cue_aud	1
687.104	n/a	tag	16
690.623	n/a	target	32
691.248	n/a	miss	128
692.296	n/a	cue_vis	4
692.893	n/a	tag	16
695.902	n/a	target	32
696.653	n/a	miss	128
697.66	n/a	cue_vis	4
698.267	n/a	tag	16
701.274	n/a	target	32
701.749	n/a	hit	64
702.881	n/a	cue_aud	1
703.469	n/a	tag	16
706.904	n/a	target	32
707.52	n/a	hit	64
708.772	n/a	cue_aud	1
709.342	n/a	tag	16
712.778	n/a	target	32
713.792	n/a	hit	64
714.979	n/a	cue_vis	4
715.552	n/a	tag	16
718.563	n/a	target	32
719.314	n/a	miss	128
720.471	n/a	cue_vis	4
721.009	n/a	tag	16
724.018	n/a	target	32
724.743	n/a	miss	128
726.004	n/a	cue_aud	1
726.547	n/a	tag	16
729.982	n/a	target	32
730.807	n/a	hit	64
731.838	n/a	cue_vis	4
732.422	n/a	tag	16
735.427	n/a	target	32
736.261	n/a	hit	64
737.535	n/a	cue_aud	1
738.131	n/a	tag	16
741.647	n/a	target	32
742.233	n/a	miss	128
743.267	n/a	cue_aud	1
743.836	n/a	tag	16
747.272	n/a	target	32
747.854	n/a	hit	64
749.011	n/a	cue_vis	4
749.628	n/a	tag	16
752.634	n/a	target	32
753.484	n/a	miss	128
754.529	n/a	cue_vis	4
755.082	n/a	tag	16
758.088	n/a	target	32
758.614	n/a	hit	64
759.783	n/a	cue_vis	4
760.369	n/a	tag	16
763.376	n/a	target	32
764.185	n/a	miss	128
765.188	n/a	cue_vis	4
765.739	n/a	tag	16
768.747	n/a	target	32
769.523	n/a	hit	64
770.754	n/a	cue_aud	1
771.364	n/a	tag	16
774.799	n/a	target	32
775.328	n/a	hit	64
776.584	n/a	cue_vis	4
777.153	n/a	tag	16
780.165	n/a	target	32
781.049	n/a	miss	128
782.326	n/a	cue_aud	1
782.861	n/a	tag	16
786.38	n/a	target	32
786.962	n/a	hit	64
788.26	n/a	cue_aud	1
788.82	n/a	tag	16
792.255	n/a	target	32
792.901	n/a	miss	128
794.054	n/a	cue_aud	1
794.609	n/a	tag	16
798.044	n/a	target	32
798.656	n/a	hit	64
799.738	n/a	cue_vis	4
800.317	n/a	tag	16
803.326	n/a	target	32
804.11	n/a	hit	64
805.142	n/a	cue_vis	4
805.69	n/a	tag	16
808.698	n/a	target	32
809.323	n/a	miss	128
810.477	n/a	cue_vis	4
811.059	n/a	tag	16
814.069	n/a	target	32
814.869	n/a	hit	64
816.046	n/a	cue_aud	1
816.599	n/a	tag	16
820.118	n/a	target	32
820.607	n/a	hit	64
821.838	n/a	cue_vis	4
822.391	n/a	tag	16
825.403	n/a	target	32
826.104	n/a	hit	64
827.13	n/a	cue_aud	1
827.678	n/a	tag	16
831.111	n/a	target	32
831.608	n/a	hit	64
832.809	n/a	cue_aud	1
833.383	n/a	tag	16
836.819	n/a	target	32
837.338	n/a	hit	64
867.642	n/a	cue_vis	4
868.212	n/a	tag	16
871.217	n/a	target	32
872.151	n/a	hit	64
873.204	n/a	cue_aud	1
873.753	n/a	tag	16
877.269	n/a	target	32
878.148	n/a	hit	64
879.431	n/a	cue_aud	1
880.046	n/a	tag	16
883.482	n/a	target	32
884.011	n/a	hit	64
885.19	n/a	cue_vis	4
885.751	n/a	tag	16
888.757	n/a	target	32
889.457	n/a	hit	64
890.591	n/a	cue_aud	1
891.206	n/a	tag	16
894.644	n/a	target	32
895.162	n/a	hit	64
896.446	n/a	cue_aud	1
896.998	n/a	tag	16
900.432	n/a	target	32
900.95	n/a	hit	64
902.149	n/a	cue_aud	1
902.705	n/a	tag	16
906.141	n/a	target	32
906.672	n/a	hit	64
907.809	n/a	cue_vis	4
908.411	n/a	tag	16
911.418	n/a	target	32
912.427	n/a	hit	64
913.68	n/a	cue_aud	1
914.287	n/a	tag	16
917.721	n/a	target	32
918.282	n/a	hit	64
919.443	n/a	cue_aud	1
919.994	n/a	tag	16
923.513	n/a	target	32
924.095	n/a	hit	64
925.262	n/a	cue_vis	4
925.87	n/a	tag	16
928.882	n/a	target	32
929.483	n/a	miss	128
930.688	n/a	cue_vis	4
931.24	n/a	tag	16
934.245	n/a	target	32
935.062	n/a	hit	64
936.174	n/a	cue_aud	1
936.778	n/a	tag	16
940.213	n/a	target	32
941.059	n/a	hit	64
942.132	n/a	cue_aud	1
942.737	n/a	tag	16
946.172	n/a	target	32
946.881	n/a	hit	64
948.056	n/a	cue_vis	4
948.613	n/a	tag	16
951.618	n/a	target	32
952.21	n/a	hit	64
953.472	n/a	cue_vis	4
954.067	n/a	tag	16
957.073	n/a	target	32
957.598	n/a	miss	128
958.722	n/a	cue_vis	4
959.27	n/a	tag	16
962.277	n/a	target	32
962.936	n/a	hit	64
963.971	n/a	cue_aud	1
964.557	n/a	tag	16
967.993	n/a	target	32
968.616	n/a	hit	64
969.75	n/a	cue_aud	1
970.349	n/a	tag	16
973.868	n/a	target	32
975.046	n/a	hit	64
976.138	n/a	cue_aud	1
976.726	n/a	tag	16
980.161	n/a	target	32
981.151	n/a	hit	64
982.273	n/a	cue_vis	4
982.852	n/a	tag	16
985.864	n/a	target	32
986.698	n/a	miss	128
987.949	n/a	cue_vis	4
988.561	n/a	tag	16
991.569	n/a	target	32
992.261	n/a	hit	64
993.383	n/a	cue_aud	1
993.932	n/a	tag	16
997.366	n/a	target	32
998.141	n/a	hit	64
999.259	n/a	cue_vis	4
999.807	n/a	tag	16
1002.82	n/a	target	32
1003.72	n/a	miss	128
1004.83	n/a	cue_vis	4
1005.429	n/a	tag	16
1008.441	n/a	target	32
1009.192	n/a	miss	128
1010.235	n/a	cue_vis	4
1010.8	n/a	tag	16
1013.812	n/a	target	32
1015.163	n/a	hit	64
1016.243	n/a	cue_aud	1
1016.842	n/a	tag	16
1020.277	n/a	target	32
1020.785	n/a	hit	64
1040.764	n/a	cue_aud	1
1041.348	n/a	tag	16
1044.782	n/a	target	32
1045.514	n/a	hit	64
1046.644	n/a	cue_aud	1
1047.222	n/a	tag	16
1050.742	n/a	target	32
1051.352	n/a	hit	64
1052.431	n/a	cue_vis	4
1053.014	n/a	tag	16
1056.023	n/a	target	32
1056.932	n/a	miss	128
1058.023	n/a	cue_vis	4
1058.553	n/a	tag	16
1061.561	n/a	target	32
1062.228	n/a	miss	128
1063.357	n/a	cue_vis	4
1063.923	n/a	tag	16
1066.932	n/a	target	32
