onset	duration	trial_type	value
611.683	n/a	cue_vis	4
611.802	n/a	tag	16
614.819	n/a	target	32
616.836	n/a	miss	128
618.012	n/a	cue_vis	4
618.548	n/a	tag	16
621.559	n/a	target	32
622.44	n/a	miss	128
623.48	n/a	cue_aud	1
624.088	n/a	tag	16
627.531	n/a	target	32
628.028	n/a	hit	64
629.231	n/a	cue_vis	4
629.795	n/a	tag	16
632.807	n/a	target	32
633.499	n/a	hit	64
634.682	n/a	cue_vis	4
635.251	n/a	tag	16
638.262	n/a	target	32
638.94	n/a	hit	64
639.962	n/a	cue_aud	1
640.538	n/a	tag	16
643.98	n/a	target	32
644.659	n/a	miss	128
645.678	n/a	cue_vis	4
646.241	n/a	tag	16
649.254	n/a	target	32
650.08	n/a	hit	64
651.127	n/a	cue_aud	1
651.698	n/a	tag	16
655.141	n/a	target	32
655.768	n/a	hit	64
656.776	n/a	cue_vis	4
657.32	n/a	tag	16
660.33	n/a	target	32
661.173	n/a	hit	64
662.305	n/a	cue_aud	1
662.86	n/a	tag	16
666.303	n/a	target	32
666.927	n/a	hit	64
668.178	n/a	cue_vis	4
668.735	n/a	tag	16
671.748	n/a	target	32
672.74	n/a	hit	64
673.928	n/a	cue_aud	1
674.527	n/a	tag	16
677.967	n/a	target	32
679.212	n/a	hit	64
680.37	n/a	cue_aud	1
680.904	n/a	tag	16
684.347	n/a	target	32
684.926	n/a	hit	64
686.186	n/a	cue_vis	4
686.78	n/a	tag	16
689.788	n/a	target	32
690.522	n/a	hit	64
691.553	n/a	cue_vis	4
692.15	n/a	tag	16
695.16	n/a	target	32
695.835	n/a	miss	128
697.109	n/a	cue_aud	1
697.689	n/a	tag	16
701.131	n/a	target	32
701.64	n/a	miss	128
702.674	n/a	cue_vis	4
703.229	n/a	tag	16
706.235	n/a	target	32
707.044	n/a	miss	128
708.201	n/a	cue_vis	4
708.767	n/a	tag	16
711.773	n/a	target	32
712.607	n/a	miss	128
713.652	n/a	cue_aud	1
714.224	n/a	tag	16
717.664	n/a	target	32
718.345	n/a	miss	128
719.515	n/a	cue_aud	1
720.097	n/a	tag	16
723.539	n/a	target	32
725.56	n/a	miss	128
726.563	n/a	cue_aud	1
727.146	n/a	tag	16
730.588	n/a	target	32
731.09	n/a	hit	64
732.321	n/a	cue_vis	4
732.854	n/a	tag	16
735.86	n/a	target	32
736.961	n/a	hit	64
738.217	n/a	cue_aud	1
738.813	n/a	tag	16
742.253	n/a	target	32
742.683	n/a	hit	64
743.959	n/a	cue_aud	1
744.518	n/a	tag	16
747.962	n/a	target	32
748.663	n/a	hit	64
749.96	n/a	cue_aud	1
750.562	n/a	tag	16
754.004	n/a	target	32
754.643	n/a	hit	64
755.796	n/a	cue_vis	4
756.353	n/a	tag	16
759.364	n/a	target	32
760.139	n/a	hit	64
761.222	n/a	cue_aud	1
761.808	n/a	tag	16
765.25	n/a	target	32
766.603	n/a	miss	128
784.885	n/a	cue_aud	1
785.473	n/a	tag	16
788.915	n/a	target	32
789.556	n/a	hit	64
790.709	n/a	cue_vis	4
791.265	n/a	tag	16
794.276	n/a	target	32
795.01	n/a	hit	64
796.187	n/a	cue_aud	1
796.719	n/a	tag	16
800.162	n/a	target	32
800.807	n/a	miss	128
802.037	n/a	cue_aud	1
802.595	n/a	tag	16
806.037	n/a	target	32
806.82	n/a	hit	64
807.846	n/a	cue_vis	4
808.387	n/a	tag	16
811.399	n/a	target	32
811.891	n/a	hit	64
813.091	n/a	cue_vis	4
813.671	n/a	tag	16
816.679	n/a	target	32
817.638	n/a	miss	128
818.794	n/a	cue_aud	1
819.379	n/a	tag	16
822.821	n/a	target	32
823.534	n/a	miss	128
824.587	n/a	cue_vis	4
825.17	n/a	tag	16
828.18	n/a	target	32
828.914	n/a	miss	128
830.197	n/a	cue_vis	4
830.793	n/a	tag	16
833.801	n/a	target	32
834.694	n/a	hit	64
835.872	n/a	cue_aud	1
836.415	n/a	tag	16
839.858	n/a	target	32
841.016	n/a	hit	64
842.149	n/a	cue_aud	1
842.711	n/a	tag	16
846.152	n/a	target	32
846.729	n/a	miss	128
848.013	n/a	cue_aud	1
848.585	n/a	tag	16
852.025	n/a	target	32
852.684	n/a	hit	64
853.882	n/a	cue_aud	1
854.461	n/a	tag	16
857.903	n/a	target	32
858.514	n/a	hit	64
859.651	n/a	cue_vis	4
860.25	n/a	tag	16
863.26	n/a	target	32
864.327	n/a	miss	128
865.581	n/a	cue_vis	4
866.126	n/a	tag	16
869.131	n/a	target	32
869.806	n/a	hit	64
870.968	n/a	cue_vis	4
871.58	n/a	tag	16
874.586	n/a	target	32
875.445	n/a	hit	64
876.612	n/a	cue_vis	4
877.204	n/a	tag	16
880.216	n/a	target	32
880.908	n/a	miss	128
882.113	n/a	cue_vis	4
882.658	n/a	tag	16
885.67	n/a	target	32
