onset	duration	trial_type	value
44.716	n/a	cue_aud	1
44.836	n/a	tag	16
48.327	n/a	target	32
49.345	n/a	miss	128
50.359	n/a	cue_aud	1
50.908	n/a	tag	16
54.369	n/a	target	32
55.025	n/a	hit	64
56.157	n/a	cue_aud	1
56.7	n/a	tag	16
60.158	n/a	target	32
60.629	n/a	hit	64
61.912	n/a	cue_aud	1
62.492	n/a	tag	16
65.949	n/a	target	32
66.918	n/a	hit	64
67.998	n/a	cue_aud	1
68.534	n/a	tag	16
71.992	n/a	target	32
72.347	n/a	hit	64
73.52	n/a	cue_aud	1
74.072	n/a	tag	16
77.53	n/a	target	32
78.069	n/a	hit	64
79.179	n/a	cue_vis	4
79.781	n/a	tag	16
82.791	n/a	target	32
83.515	n/a	hit	64
84.525	n/a	cue_vis	4
85.067	n/a	tag	16
88.077	n/a	target	32
88.619	n/a	hit	64
89.771	n/a	cue_vis	4
90.355	n/a	tag	16
93.365	n/a	target	32
93.849	n/a	miss	128
95.099	n/a	cue_aud	1
95.641	n/a	tag	16
99.099	n/a	target	32
99.67	n/a	hit	64
100.75	n/a	cue_vis	4
101.35	n/a	tag	16
104.358	n/a	target	32
104.791	n/a	miss	128
105.807	n/a	cue_vis	4
106.383	n/a	tag	16
109.395	n/a	target	32
110.062	n/a	hit	64
111.138	n/a	cue_vis	4
111.669	n/a	tag	16
114.675	n/a	target	32
115.734	n/a	hit	64
116.934	n/a	cue_vis	4
117.545	n/a	tag	16
120.555	n/a	target	32
121.589	n/a	hit	64
122.689	n/a	cue_aud	1
123.251	n/a	tag	16
126.711	n/a	target	32
127.569	n/a	hit	64
128.768	n/a	cue_aud	1
129.379	n/a	tag	16
132.837	n/a	target	32
133.332	n/a	hit	64
134.337	n/a	cue_vis	4
134.917	n/a	tag	16
137.928	n/a	target	32
138.77	n/a	miss	128
139.987	n/a	cue_aud	1
140.539	n/a	tag	16
144.0	n/a	target	32
145.1	n/a	hit	64
146.219	n/a	cue_aud	1
146.835	n/a	tag	16
150.293	n/a	target	32
150.763	n/a	hit	64
151.775	n/a	cue_vis	4
152.373	n/a	tag	16
155.384	n/a	target	32
155.734	n/a	miss	128
156.858	n/a	cue_vis	4
157.41	n/a	tag	16
160.422	n/a	target	32
161.239	n/a	miss	128
162.455	n/a	cue_vis	4
163.031	n/a	tag	16
166.043	n/a	target	32
166.602	n/a	miss	128
167.88	n/a	cue_vis	4
168.488	n/a	tag	16
